,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Lieu de la vente,Séance unique,Modalités de visite,Année de construction,Visite virtuelle,Salon,Salle à manger,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Mise à prix,Revenu cadastral,Grenier,Droit d'achat prioritaire possible,Toilettes,Type de chauffage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Parkings intérieurs,Quartier ou lieu-dit,Parkings extérieurs,Bureau,Surface du jardin,Surface de la terrasse,Procédure pour violation de la réglementation urbanistique,Largeur du terrain à rue,Surface constructible totale au sol,Largeur de la façade à rue,Surface de la cuisine,Attestation as-built,Surface du salon,Orientation du jardin,Accès sécurisé / alarme,Référence externe,Salles de douche,Disponible le,Dressing,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Buanderie,Surface de bureau,Orientation de la terrasse,Type de construction,Attestation de conformité des citernes à mazout,Surface de la chambre 4,Surface de la chambre 5,Obligation de construire,Niveau E (performance énergétique globale),Isolé,Pourcentage loué,Revenu mensuel actuel,Jardin,Surface du grenier,Nom du bien,Combien de feux ouverts ?,Surface de l'espace professionnel,Nom de l'agent
81,À rénover,3,1,,,1,248 m²,,,,Oui,,,Sud-est,,,,201711110002009775-1,Non communiqué,Non communiqué,Oui,Non,,,Kim GEENSEN,,,Non,"nl :
vrij. 1/10, 8/10, 15/10 en 22/10 van 11u-12u & din. 5/10, 12/10, 19/10 en 26/10 van 09u30-10u30",Après la signature de l’acte,,Équipée,2,,Non,Zone non inondable,586 €,Non,"Jules Moretuslei, 342
2610 - Wilrijk",,80.000 €,,,,Oui,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567 kWh/m²,,,,,
82,,,Oui,,,2,Oui,,,,Oui,132 m²,,Sud,,,C,20190529-0002164922-RES-1,Non communiqué,Non communiqué,Non,Non,,,Philip VAN den ABBEELE,,,Non,"nl :
elke maa. van 18u30-20u30, vanaf maa. 20/9 EN elke zat. van 14u-16u, vanaf zat. 25/9",15 janvier 2022 - 00:00,2,Oui,Équipée,3,,Zone non inondable,751 €,Non,"Britselei, 47-49
2000 - ANTWERPEN",Oui,295.000 €,,,,,,,,,,,,,,,,,220 kWh/m²,,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,
83,Immédiatement,Bon,2,Urbain,210 m²,Équipée,8,13 m²,20 m²,16 m²,3,Oui,Oui,135 m²,Connecté,Oui,,176 kWh/m²,B,20210205-0002368946-RES-1,Non communiqué,Non communiqué,Oui,595.000 €,Oui,"Napelsstraat 73/201
2000 - Antwerpen",,,,,,,,,,,Zone non inondable,,,,,4,Gaz,,,--2610--Wilrijk,,,,,,,,,,,,,,4255968,3,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,13 m²,18 m²,,,,,,,,,,,
84,,Excellent état,2,,230 m²,Hyper équipée,2,,,,1,,,,,,,194 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,550.000 €,Non,"Sint-Katelijnevest 24
2000 - Antwerpen",4393469,,,,,,,,Oui,Non,Zone non inondable,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Zuiden van Antwerpen,,Oui,,33 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
85,4,,,,,,350 m²,,,,500 kWh/m²,,,E,,,,20210622-0002432669-RES-1,Non communiqué,Non communiqué,Non,Non,,,Koen DE RAEYMAECKER,,,Non,"nl :
sleutel af te halen op het notariskantoor na tel. afspraak en mits het betalen van een borgsom",Après la signature de l’acte,,1,,,,Zone non inondable,689 €,Non,"Quinten Matsyslei, 28
2018 - ANTWERPEN",,210.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4,,,,,,280 m²,,,,571 kWh/m²,,,F,,,,20210622-0002432588-RES-1,Non communiqué,Non communiqué,Non,Non,,,Koen DE RAEYMAECKER,,,Non,"nl :
sleutel af te halen op het notariskantoor na tel. afspraak en mits het betalen van een borgsom",Après la signature de l’acte,,1,,,,Zone non inondable,632 €,Non,"Quinten Matsyslei, 28
2018 - ANTWERPEN",,215.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,3,,,,,,523 m²,,,,528 kWh/m²,,,F,,,,20210622-0002432555-RES-1,Non communiqué,Non communiqué,Non,Non,,,Koen DE RAEYMAECKER,,,Non,"nl :
sleutel af te halen op het notariskantoor na telefonische afspraak en mits het betalen van een borgsom",Après la signature de l’acte,,1,,,,Zone non inondable,691 €,Non,"Quinten Matsyslei, 28
2018 - ANTWERPEN",,240.500 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,Excellent état,2,Urbain,185 m²,Hyper équipée,3,,,,1,,Non,252 m²,,,Oui,379 kWh/m²,D,20211005-0002472720-RES-1,Non communiqué,Non communiqué,,398.000 €,Non,"Kern 32
2610 - Wilrijk",D2610-21093,,,,1930,,,,Oui,,Zone non inondable,,745 €,,Non,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,157 m²,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Après la signature de l’acte,Bon,2,,150 m²,Équipée,3,,,,1,Oui,Non,171 m²,,Oui,,156 kWh/m²,B,2473491,Non communiqué,Non communiqué,Oui,350.000 €,Non,"Antwerpsestraat 292
2640 - Mortsel",10438 - 7062,,,,1934,,,,Oui,,Zone non inondable,,977 €,,Non,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,54 m²,16 m²,,5.5 m,,,,Non,62 m²,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,Fraîchement rénové,2,Urbain,225 m²,Équipée,3,,,,1,,Non,268 m²,,,,183 kWh/m²,B,2337595,Non communiqué,Non communiqué,,529.000 €,Non,"Kern 32
2610 - Wilrijk",D2610-21086,,,,1956,,,,Oui,Oui,Zone non inondable,,1.504 €,,Non,1,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,2,,150 m²,20 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,Bon,,"Zone d'habitat (résidentiel, urbain ou rural)",500 m²,Équipée,5,,,,2,Oui,Non,895 m²,,Oui,,413 kWh/m²,E,20210810-0002450036-RES-1,Non communiqué,Non communiqué,Oui,1.740.000 €,Non,"Prins Boudewijnlaaan 318
2610 - Wilrijk",,,,,1930,,,,,,,,2.337 €,,,,Gaz,,,,5,,,40 m²,,,,,,Non,,Sud,,1859 - 1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,
92,À définir,Excellent état,,,55 m²,14 m²,16 m²,19 m²,18 m²,Non,,Non,194 m²,Connecté,Oui,3 m²,,C,1718204,Non communiqué,Non communiqué,Gaz,Oui,Non,"Krijgsbaan 11 b1
2640 - Mortsel",,,,,,,194 m²,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Zone non inondable,Oui,Non,459.000 €,,,,,,Sud-ouest,,,,,3,,Hyper équipée,,,,1,,1,,,,,,,,,,,,,,,,,,Oui,,,,,,215 kWh/m²,,,,,,,,,,,,,,,
93,Après la signature de l’acte,Bon,,"Zone d'habitat (résidentiel, urbain ou rural)",422 m²,Équipée,4,,,,2,Oui,Non,835 m²,,Oui,,341 kWh/m²,D,20210624-0002433585-RES-1,Non communiqué,Non communiqué,Oui,1.650.000 €,Non,"Prins Boudewijnlaaan 318
2610 - Wilrijk",,,,,1961,,,,,,,,3.701 €,,,,Mazout,,2,,1,,,,,,,,,Non,,Sud-ouest,,1858 - 1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,
94,Selon le locataire,Fraîchement rénové,2,,225 m²,Équipée,6,,,,3,Oui,Non,,,,,245 kWh/m²,C,20210217-002374908-RES-1,Non communiqué,Non communiqué,Oui,620.000 €,Oui,"Italiëlei 207
2000 - Antwerpen",39223 - ANT-21-THU-0,,,,1965,,,,Oui,Non,,,,,Non,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Non,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,
95,,Bon,4,,450 m²,Équipée,6,,,,3,Oui,Non,1171 m²,,Oui,,249 kWh/m²,C,0002387758,Non communiqué,Non communiqué,Oui,1.780.000 €,Non,"Prins Boudewijnlaaan 318
2610 - Wilrijk",,,,,1989,,,,,,,,3.639 €,,,,Gaz,,4,,2,,,,,,,,,Non,,Ouest,,1855 - 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,
96,Après la signature de l’acte,À rafraîchir,2,,179 m²,,3,20 m²,20 m²,13 m²,1,Oui,Non,220 m²,,Oui,,532 kWh/m²,F,20210923-0002467815-RES-1,Non communiqué,Non communiqué,Non,289.000 €,Non,,,,,,1955,,,Oui,,,,,,Oui,,,Gaz,,,,,Non,100 m²,15 m²,,,,6 m,15 m²,,22 m²,,,,,,Oui,Non,,Non,Oui,Non,Non,Non,,,,,,,,,,,Non,Non,Non,Non,,,,Toutes sortes,,,,,,,,,,,,1,,
97,À définir,Bon,,,Équipée,3,Non,,,,,,156 m²,Connecté,Oui,Oui,272 kWh/m²,C,20210812-0002449993-RES-1,Non communiqué,Non communiqué,Non,399.000 €,Non,"Blancefloerlaan 50
2050 - Antwerpen",,,,,,,189 m²,,,,,,,,,,Non,Non,,,,,,,,,,,,,Gaz,,,,,,,2,,,,,,,,,,,,,,,,,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,
98,,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",180 m²,,3,,,,1,Oui,Non,,,,,305 kWh/m²,D,0001825725,Non communiqué,Non communiqué,Oui,595.000 €,Non,"Prins Boudewijnlaaan 318
2610 - Wilrijk",,,,,1953,,,,,,,,,,,,Gaz,,2,,1,,,,,,,,,Non,,,,1849 - 1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
99,Après la signature de l’acte,Bon,4,,546 m²,Équipée,7,,,,4,Oui,Non,944 m²,,,,163 kWh/m²,B,2412111,Non communiqué,Non communiqué,Oui,2.085.000 €,Non,"Berkenlaan 44
2610 - Antwerpen - Wilrijk",4032 - 2519,,,,1995,,,,,Non,,,5.849 €,,Non,5,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",2,,2,,,,Non,20 m,,12 m,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",210 m²,Équipée,3,,,,2,,,230 m²,Connecté,Oui,,181 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,450.000 €,Non,"Daniel Herreynslaan 2
2610 - Wilrijk",,,,,,,,,Oui,Non,Zone non inondable,,1.384 €,,Non,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,,2,,,25 m²,Non,,,6.5 m,,Non,48 m²,Sud,,,1,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Sud,,,,,,,,,,Oui,,,1,,
101,Après la signature de l’acte,Bon,2,,157 m²,Pas équipée,3,17 m²,17 m²,13 m²,1,Oui,Non,182 m²,,Oui,,327 kWh/m²,D,20130812-0001423339-00000001-9,Non communiqué,Non communiqué,Oui,269.500 €,Non,,,,,,,,Oui,Oui,,,Zone non inondable,,572 €,Oui,,2,Gaz,,,,,Non,76 m²,,,,,5 m,,Non,,Sud,Non,,,,Oui,Non,,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,À rénover,2,Urbain,202 m²,,4,24 m²,12 m²,12 m²,1,,Non,133 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,269.000 €,Non,,,,,,1931,,,,,,Zone non inondable,,1.046 €,,,2,Gaz,,,,,Non,40 m²,,Non,5 m,,5 m,15 m²,,25 m²,,Non,,,,Non,Non,40 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,,Toutes sortes,,23 m²,,,,,,,,,,,28 m²,
103,,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",202 m²,Équipée,4,16 m²,16 m²,16 m²,2,,Non,111 m²,Connecté,Oui,,232 kWh/m²,C,20210924-0002468512-RES-1,Non communiqué,Non communiqué,Oui,398.000 €,Non,,,,,,,,,,Oui,Non,Zone non inondable,,,,,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,35 m²,,Non,6 m,,6 m,,,51 m²,Sud-ouest,Non,,,,Non,Oui,46 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,,,,16 m²,,,,Oui,,,,22 m²,,,,
104,Après la signature de l’acte,Bon,3,,135 m²,Américaine hyper-équipée,2,24 m²,,,1,Oui,,453 m²,Connecté,Oui,,198 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,435.000 €,Non,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",4447743,,,,1996,,,,Oui,,Zone non inondable,,,Oui,Non,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,,1,,250 m²,25 m²,,,,,14 m²,,39 m²,,,,,,,,,,,,,,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
105,Après la signature de l’acte,Bon,2,,160 m²,Équipée,4,18 m²,18 m²,14 m²,1,,Non,81 m²,,,,373 kWh/m²,D,20150604-0001765702-1,Non communiqué,Non communiqué,Oui,299.000 €,Non,"Fruithoflaan, 1
2600 - Berchem",13427 - 372285,,,,,,,,,,,,,,,1,Gaz,,,,,,,,,,,,,Non,,,,,,,,,36 m²,,,,,,,,,,,,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,
106,Après la signature de l’acte,Bon,3,,121 m²,Hyper équipée,3,14 m²,10 m²,8 m²,1,,,330 m²,,Oui,Oui,666 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,369.000 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4513169,,,,,,,,,,,,,,,2,Gaz,,1,,,,,,,,,,8 m²,,32 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Après la signature de l’acte,Fraîchement rénové,1,,225 m²,Hyper équipée,4,,,,1,,Non,384 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,730.000 €,Non,,,,,,,,,,,,Zone non inondable,,,,,3,Gaz,,1,,2,Non,240 m²,12 m²,,,,6 m,,,,Sud,Non,,2,,Oui,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,,,Sud,Maison bel-étage,,,,,,,,,,,,1,,
108,,,,,328 m²,,3,,,,1,,Non,1082 m²,Non connecté,Non,,727 kWh/m²,F,20210604-0002424771-RES-1,Non communiqué,Non communiqué,Non,1.950.000 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/9799,,,,,,,,,Non,Zone non inondable,,3.832 €,,Non,3,Mazout,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,Non,1082 m²,,Non,19.5 m,197 m²,12.5 m,,,,Nord-est,Oui,,,,,,56 m²,Non,,,,,,Non,Non,Non,,Oui,,,Non,,,,,,,,,Villa,,,,,,,,,,,,,,
109,,,,,,Hyper équipée,4,,,,2,,,353 m²,Non connecté,Oui,,294 kWh/m²,C,20200928-000232681-RES-1,Non communiqué,Non communiqué,Oui,650.000 €,Non,"Britselei, 24
2000 - Anvers",JULES MORETUSLEI 522,,,,,,Oui,,,Non,Zone non inondable,,1.530 €,,Non,,,,1,,,Non,,,Non,,,,,,,,Non,,,,Non,,,,Non,Non,Non,Non,Non,Non,Non,Non,,Non,,,Oui,,,,,,,,,,,,,Non,,,,,,,,,,
110,,,4,"Zone d'habitat (résidentiel, urbain ou rural)",388 m²,Équipée,6,22 m²,16 m²,14 m²,3,,Non,1000 m²,,Oui,,348 kWh/m²,D,20210416-0002386792-RES-1,Non communiqué,Non communiqué,Oui,1.875.000 €,Non,"Coquilhatstraat, 37-39
2000 - Antwerpen",5393 - 1007,,,,1978,,,,Oui,Non,Zone non inondable,,3.400 €,,Non,4,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",2,Den Brandt,3,,,,,,,25 m,,Non,73 m²,,Oui,,1,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,13 m²,11 m²,,,,,,,,,,,
111,Après la signature de l’acte,Bon,2,,159 m²,Équipée,3,,,,1,Oui,Non,195 m²,,,,282 kWh/m²,C,0002416396-RES-1,Non communiqué,Non communiqué,Oui,299.000 €,Non,"Britselei 42
2000 - Antwerpen",9959 - 3596134,,,,1936,,,,,,Zone non inondable,,659 €,,Non,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,95 m²,,,,,5 m,,Non,,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,À rafraîchir,4,,184 m²,Semi-équipée,3,21 m²,18 m²,8 m²,1,,Non,624 m²,,Oui,,506 kWh/m²,F,20210816-0002451962-RES-1,Non communiqué,Non communiqué,Oui,710.000 €,Non,"Prins Boudewijnlaan 14
2600 - Antwerpen",31 - 21-0301,,,,1961,,,Oui,Oui,,Zone non inondable,,2.196 €,,Non,2,Mazout,"Zone d'habitat (résidentiel, urbain ou rural)",1,,2,Oui,,24 m²,Non,14.5 m,,8 m,9 m²,Non,38 m²,Est,Oui,,,31 mars 2022 - 00:00,,,30 m²,,,,,,,,,,,,,,,,,,,,,8 m²,,,"Oui, conforme",,,,,,,,Oui,,,,,
113,Immédiatement,Bon,2,,110 m²,Équipée,3,,,,1,,Non,,,,,28 kWh/m²,A,11002-G-2014_166096/EP00148/A507/D01/SD003,Non communiqué,Non communiqué,Oui,319.000 €,Non,"Britselei 42
2000 - Antwerpen",10086 - 3595979,,,,2017,,,,,,,,1.085 €,,,2,Gaz,,2,,,,,,,,,,,Non,35 m²,,,,,12 février 2021 - 00:00,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,,4,"Zone d'habitat (résidentiel, urbain ou rural)",360 m²,Équipée,5,24 m²,23 m²,17 m²,4,Oui,Non,1344 m²,,Oui,,775 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,1.575.000 €,Non,"Coquilhatstraat, 37-39
2000 - Antwerpen",5272 - 1063,,,,,,,,Oui,,Zone non inondable,,5.007 €,,,,Mazout,"Zone d'habitat (résidentiel, urbain ou rural)",2,Den Brandt,1,,,,,,,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,14 m²,12 m²,,,,,,,,,,,
115,,Bon,2,,230 m²,Équipée,4,,,,2,Oui,Non,487 m²,,,Oui,281 kWh/m²,C,1795724,Non communiqué,Non communiqué,Oui,1.275.000 €,Non,"Berkenlaan 44
2610 - Antwerpen - Wilrijk",4082 - 2560,,,,1950,,,,,Non,,,2.297 €,,Non,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",2,,2,Oui,,,Non,12 m,,12 m,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
116,,Bon,2,,215 m²,Pas équipée,3,,,,3,Oui,Non,189 m²,,,,273 kWh/m²,C,2437556-RES-2,Non communiqué,Non communiqué,Oui,249.500 €,Non,"Boterlaarbaan 311
2100 - Deurne",14400 - 14217,,,,,,,,Oui,Non,Zone non inondable,,1.248 €,,Non,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,72 m²,,Non,6 m,,6 m,,Non,31 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,À rafraîchir,1,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,Équipée,3,15 m²,15 m²,5 m²,1,,Non,234 m²,Connecté,Oui,,325 kWh/m²,D,20210927-0002469043-RES-1,Non communiqué,Non communiqué,Oui,389.000 €,Non,,,,,,1950,,,,,,Zone non inondable,,,,,2,Gaz,,,,,Non,120 m²,,,6 m,,6 m,10 m²,,38 m²,Sud-est,,,,,Non,Non,,Non,Oui,Non,Non,Non,,,,,,,,,,,Non,Non,Non,Non,,,,Toutes sortes,,,,,,,,,,,,,,
118,À définir,Excellent état,4,"Zone d'habitat (résidentiel, urbain ou rural)",413 m²,Hyper équipée,4,20 m²,20 m²,22 m²,3,,Non,1443 m²,,,,347 kWh/m²,D,20180322-0002043703-1,Non communiqué,Non communiqué,Oui,1.385.000 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",,,,,1966,,,Oui,,Non,Zone non inondable,,5.594 €,,Non,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",2,,3,Non,900 m²,,Non,,215 m²,,20 m²,,32 m²,Sud-ouest,Oui,spir3798,2,,Oui,,70 m²,,,,,,Non,Non,Non,Non,,Oui,,,Non,,Non,,,,Oui,,,,Non,20 m²,,Non,,,,,,,,1,,
119,Après la signature de l’acte,Excellent état,2,,160 m²,Équipée,4,10 m²,11 m²,12 m²,1,,Non,103 m²,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,486.000 €,Non,,,,,,,,,,Oui,,Zone non inondable,,,,Non,2,Gaz,,,,,Non,30 m²,,Non,,,,18 m²,,45 m²,Est,,,,,Non,Non,,Non,Non,Non,Non,Non,,,,,,,,,,,Non,Non,Non,Non,Oui,,,Toutes sortes,,18 m²,,,,,,,,,,,,
120,Après la signature de l’acte,Fraîchement rénové,2,,330 m²,Équipée,3,,,,3,,Non,303 m²,,,,151 kWh/m²,B,1850554,Non communiqué,Non communiqué,Oui,949.000 €,Non,"Berkenlaan 44
2610 - Antwerpen - Wilrijk",4052 - 2525,,,,,,,,,Non,,,2.131 €,,Non,4,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,,2,,,,Non,,,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,
121,Après la signature de l’acte,À rénover,4,,299 m²,Semi-équipée,6,,,,2,Oui,Non,798 m²,,,,480 kWh/m²,E,2168375,Non communiqué,Non communiqué,,1.275.000 €,Non,"Berkenlaan 44
2610 - Antwerpen - Wilrijk",3981 - 2480,,,,1929,,,,,Non,,,2.974 €,,Non,,Mazout,"Zone d'habitat (résidentiel, urbain ou rural)",1,,3,,,,Non,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,,1,,
122,,Bon,2,,,Équipée,,,,,,,Non,613 m²,,,,301 kWh/m²,C,2273244,Non communiqué,Non communiqué,Oui,1.390.000 €,Oui,"Koningin Astridlaan 35
2800 - Mechelen",3206 -,,,,,,,,Oui,,Zone non inondable,,5.811 €,,Non,,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",16,,,,,,Non,,,,,Non,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,
123,Après la signature de l’acte,,2,Urbain,158 m²,Pas équipée,3,15 m²,12 m²,9 m²,1,Oui,,131 m²,Connecté,Oui,Oui,269 kWh/m²,C,0002416767,Non communiqué,Non communiqué,Oui,489.000 €,Non,"Olivetenvest 1
2800 - Mechelen",4364286,,,,1953,,,,,Non,,,994 €,,Non,2,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,1,Oui,60 m²,,Non,6 m,,6 m,8 m²,,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 m²,
124,,À rafraîchir,,"Zone d'habitat (résidentiel, urbain ou rural)",305 m²,,4,20 m²,14 m²,15 m²,1,,Non,375 m²,Connecté,Oui,,621 kWh/m²,F,20170816-0001984890-2,Non communiqué,Non communiqué,Oui,695.000 €,Non,"Driekoningenstraat 110
2600 - Berchem",TTW0221,,,,1962,,,,,Non,Zone non inondable,,2.156 €,,Oui,3,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,Non,160 m²,13 m²,Non,,,,14 m²,,42 m²,Sud,Non,,,,Non,,,,Non,Non,Non,Non,Non,Non,Non,Oui,,Oui,,,Non,,,,,,,,Nord-ouest,,,28 m²,,Non,,,,,,,,,,
125,Après la signature de l’acte,À rafraîchir,4,,Oui,,6 m²,23 m²,13 m²,16 m²,1,Oui,528 m²,16 m,Oui,25 m²,,F,20210526-0002419735-RES-1,Non communiqué,Non communiqué,Non,,2.528 €,"Strijdersstraat 24
2650 - Edegem",4517725,,,,,1969,190 m²,13 m²,,Non,Non,,,Non,Non,Non,Oui,Oui,649.900 €,1,,1,,,638 kWh/m²,"Zone d'habitat (résidentiel, urbain ou rural)",Connecté,,,4,Gaz,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
126,Après la signature de l’acte,À rénover,2,Urbain,105 m²,Équipée,3,13 m²,12 m²,7 m²,1,Oui,Non,216 m²,Connecté,Oui,,524 kWh/m²,F,20210924-0002468563-RES-1,Non communiqué,Non communiqué,Oui,325.000 €,Non,"Edegemsestraat 56
2640 - Mortsel",4519034,,,,,,,Oui,,,Zone non inondable,,,,Non,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,Oui,90 m²,12 m²,Non,5 m,56 m²,,7 m²,,28 m²,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5 m²,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,Bon,2,,167 m²,,4,,,,1,Oui,Non,149 m²,Connecté,Oui,,294 kWh/m²,C,20210907-0002461203-RES-1,Non communiqué,Non communiqué,Oui,348.000 €,Non,"Heistraat 73
2610 - Wilrijk",,,,,1918,,,Oui,Oui,Non,Zone non inondable,,535 €,,Non,,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,5 m,,,21 m²,,14 m²,,,VK2021-109,,,,,,Non,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,"Oui, conforme",,,,294,,,,,,,,,
