,Lieu de la vente,Séance unique,Modalités de visite,Disponible le,Visite virtuelle,Salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Bureau,Grenier,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Mise à prix,Revenu cadastral,Immeuble de rapport,À partir de,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Salle à manger,Dressing,Salles de douche,Buanderie,Espace professionnel,Cave,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Prix,Largeur du terrain à rue,Terrasse,Adresse,Référence externe,Quartier ou lieu-dit,Année de construction,État du bâtiment,Type d’environnement,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Site internet,Surface constructible totale au sol,Surface du salon,Surface de la cuisine,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la cave,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Surface de bureau,Attestation as-built,Autorisation de lotissement,Charges mensuelles,Combien de feux ouverts ?,Surface de l'espace professionnel,Type de construction,Obligation de construire,Pourcentage loué,Revenu mensuel actuel,Orientation de la terrasse,Attestation de conformité des citernes à mazout,Nom de l'agent,Nom du bien,Nombre d'annexes,Niveau E (performance énergétique globale),Description libre du PEB,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Surface du grenier
80,,,,,305 m²,,,2,22 m²,,Oui,,,,G,20210525-,81 kg CO₂/m²,Non communiqué,405,,,"Place du Châtelain 35
1050 - Ixelles",Après la signature de l’acte,6 m,2,,,30 m²,10 m²,,,,35 m²,,Non,405 kWh/m²,Connecté,,,,,Oui,100 m²,25 m²,Non,,Non,Oui,,Non,,,,,,,Non,Non,Non,Non,Oui,Non,Non,,,,,,1955,,,,,,,,,,Oui,6,1.250.000 €,Non,,Non,Zone non inondable,Autre type de zone,Oui,,Non,,,,,,,,,,,,,Gaz,,,,,,,,,,,
81,,,,,,,,5,2,2,Oui,Oui,,,444 kWh/m²,G,Non communiqué,115 kg CO₂/m²,Non communiqué,,2.516 €,Non,Après la signature de l’acte,,2,1,,425 m²,Oui,,,,,Oui,Non,,,,,,,,Oui,160 m²,,,,,,,,,,,,,Gaz,,,,,Oui,1.200.000 €,,Oui,"Rue Basse 21-23 Bte15 b1
1180 - Uccle",,Bruxelles Centre,,À rénover,Urbain,36 m²,22 m²,18 m²,12 m²,22 m²,4501125,,35 m²,11 m²,,,,,,Zone non inondable,56 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,Hyper équipée,7,6,,Oui,Oui,,,146 kWh/m²,C,Non communiqué,29 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,8 m,2,2,2,666 m²,Oui,,,,,Oui,Non,,402 m²,,,,,Connecté,Oui,450 m²,,Oui,Non,Non,,Oui,,Oui,,,Non,,Gaz,,,Oui,,Oui,3.450.000 €,8 m,Oui,"Avenue Legrand 30
1050 - Ixelles",,,1907,Excellent état,,30 m²,21 m²,16 m²,16 m²,16 m²,4495058,700 m²,56 m²,11 m²,,,,,,,26 m²,,,,,38 m²,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,5,1,,,,,,72 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Non,,,2,,,145 m²,,,,,,,Non,Non,55 m²,,,,,Non connecté,Oui,,,,,,,,,,,,,,Gaz,Non,Non,Non,Oui,Oui,395.000 €,,,"Rue Archimède 17
1000 - Bruxelles ville",,,,À rénover,,,,,,,,,29 m²,12 m²,Autre type de zone,,,Non,Non,Zone non inondable,,,Non,,,,,,,,,,,,,72,,,,,,,,,,,
84,,,,26 janvier 2018 - 00:00,550 m²,,3,,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,"Avenue Louise 200
1050 - Bruxelles",À définir,,2,,,Semi-équipée,,,,,,,512 m²,,50 m²,,,,,,,20 m²,Non,,Non,Oui,Non,,,,,,Non communiqué,,Zone non inondable,,,,,,Oui,,,3718273,,,1901,Bon,,,,,,,,,,,2.750.000 €,,,,,Zone d'habitat mixte (habitat & activité économique),,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,Hyper équipée,2,2,4,Oui,,,,319 kWh/m²,F,1,68 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,6.7 m,2,,,720 m²,Oui,,,,,,Non,,180 m²,,,,,,,,165 m²,,,,,,,,,,,,,,,,,Oui,2.950.000 €,,,"Avenue Louise 544
1050 - Ixelles",2989171,,1984,Excellent état,,30 m²,13 m²,,,,,,70 m²,17 m²,,,,,,,10 m²,,,,,,,,,,,,,,,1,,,,,,,,,,,
86,,,,,,,,5,,,Non,,,,414 kWh/m²,G,20210922­-0000596120-­01-­3,Non communiqué,Non communiqué,,,Oui,À définir,6 m,2,,,297 m²,,Non,,,Non,,Non,Non,115 m²,Oui,Non,Non,Non,Connecté,Oui,,30 m²,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Gaz,Non,Non,Non,Oui,Oui,695.000 €,,,,,,1876,Bon,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,
87,,,,,170 m²,,,1,14 m²,,,,,,G,20210722-0000-592931-01-1,59 kg CO₂/m²,Non communiqué,58614,,Non,"Place du Châtelain 35
1050 - Ixelles",,3 m,2,,,27 m²,3,,,,,,Non,58614 kWh/m²,Non connecté,,,,,Oui,70 m²,Non,,,Non,Oui,,Non,,,,,,,Non,Non,Non,Non,Non,Non,1.667 €,,,,,,,,,,,,,,,,Oui,,760.000 €,Non,,Non,Zone non inondable,Autre type de zone,,,Non,,,,,,,,,Gaz,,,,"Oui, conforme",,,,,,,,,,,
88,,,,,,Oui,Américaine hyper-équipée,3,3,3,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,1.797 €,Non,Après la signature de l’acte,,2,,,210 m²,Oui,Oui,2,Oui,Non,Oui,Non,Non,157 m²,Non,Non,Oui,Oui,Connecté,Oui,1 m²,1 m²,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Gaz,Non,Non,Non,Non,Oui,765.000 €,,,,,,1954,Excellent état,,,,,,,,,,,,,Oui,,,,,,Oui,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,
89,,,,,,,Équipée,7,2,3,Oui,,,,177 kWh/m²,D,20210713-0000592572-01-2,36 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,,2,,,280 m²,,,,,,Oui,Non,,105 m²,,,,,,Oui,20 m²,,,,,,Oui,,,,,,,Gaz,,,,,Oui,845.000 €,,,"Chaussée de Tervuren 149/3
1410 - Waterloo",,,1910,Bon,,,,,,,877 - 1624,,40 m²,,,,,,,,7 m²,Non,,,1,,,,,,,,,,,177,,,,,,,,,,,
90,,,,,,,Équipée,6,4,5,Oui,,,,81567 kWh/m²,G,20130925-0000188436-01-0,35 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,,2,1,,500 m²,Oui,Non,,,,,Non,Non,,Non,Non,Non,Oui,Connecté,Non,,,Non,Non,Non,Non,Non,,Oui,,,Non,,Gaz,Non,Non,Non,Non,Non,2.300.000 €,,,"Avenue Louise 404a
1050 - Ixelles",,,1890,Excellent état,,49 m²,40 m²,30 m²,15 m²,14 m²,5743644,,75 m²,,,,Oui,Non,Non,,23 m²,Non,Non,,1,,,,,,,Non,,,,,,,,,,,,,,,
91,,,,,Équipée,,3,3,3,Oui,,,,,Non communiqué,201108110000006968012,Non communiqué,Non communiqué,Gaz,,,"Avenue Louise 409
1050 - Ixelles",,,2,,,,,,4,,,Non,Oui,,,,,,,,Non,,,,Oui,,Non communiqué,,,,,,,,Oui,,,,,859.000 €,Oui,,,4528392,,,1924,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,1 décembre 2022 - 00:00,,,,,,,,,,,45 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Non,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rue Defacqz 40
1050 - Ixelles",,,,,,,,,,,4365564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,8 septembre 2021 - 00:00,,Oui,Pas équipée,6,3,3,,Oui,,,342 kWh/m²,F,F,68 kg CO₂/m²,Non communiqué,,,Oui,Après la signature de l’acte,5.8 m,2,,,302 m²,,,3,,,,Non,,,,,,,Connecté,Oui,6 m²,6 m²,,Non,Non,Oui,,,,,,Non,,,,,,,Oui,845.000 €,4 m,,"Rue Defacqz 40
1050 - Ixelles",,,1928,À rafraîchir,,15 m²,15 m²,15 m²,14 m²,13 m²,4514285,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,5,4,6,Non,,Oui,Ouest,374 kWh/m²,G,Non communiqué,73 kg CO₂/m²,Non communiqué,,3.674 €,Non,,,2,,,543 m²,,,,,,,Non,Non,,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,Oui,1.950.000 €,,,"Avenue Brugmann 181
1190 - Forest",,,1901,Bon,,,,,,,,,65 m²,,,65 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,Américaine hyper-équipée,5,4,4,Oui,,,,268 kWh/m²,E,Non communiqué,57 kg CO₂/m²,Non communiqué,,4.001 €,Non,Après la signature de l’acte,,2,1,1,485 m²,,,1,,,Oui,Non,,170 m²,,,,,Connecté,Oui,,40 m²,,Non,Non,Oui,Oui,,,,,Non,,Gaz,,,,,,2.350.000 €,,,"Avenue Legrand 30
1050 - Ixelles",,,1928,Excellent état,,,,,,,4416748,500 m²,,,,,,,,,,,,1.000 €,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,Hyper équipée,6,5,5,Oui,Oui,,,203 kWh/m²,D,Non communiqué,40 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,8.6 m,2,2,2,668 m²,Oui,,,,,Oui,Non,,690 m²,,,,,Connecté,Oui,500 m²,30 m²,,Non,Non,,Oui,,Oui,,,Non,,Gaz,,,,,Oui,2.750.000 €,8.6 m,,"Avenue Legrand 30
1050 - Ixelles",,,1874,Excellent état,,28 m²,29 m²,28 m²,29 m²,25 m²,4495098,668 m²,40 m²,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,4,3,3,Oui,,,,342 kWh/m²,F,20191030-0000559245-01-8,68 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,,2,,,470 m²,Oui,Oui,,Oui,,,Non,Non,,Non,Non,Non,Oui,Connecté,Oui,130 m²,13 m²,Non,Non,Non,Oui,Oui,,Non,,,Non,,Gaz,Non,Non,Non,Non,Oui,1.600.000 €,,,"Avenue Louise 404a
1050 - Ixelles",,,1922,Bon,,24 m²,17 m²,17 m²,10 m²,,5489275,,25 m²,,,105 m²,,,,,35 m²,Non,,,1,,,,,,,Non,,,,,,,,,,,,,,,
98,,,,,,,,4,,4,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,2.602 €,Non,Selon le locataire,65 m,2,,,411 m²,,Non,3,,Non,,Non,Non,350 m²,Non,Non,Non,Non,,Oui,1 m²,1 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Oui,Oui,1.100.000 €,,,,,,1921,À rafraîchir,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,
99,,,,,,,Américaine hyper-équipée,5,2,2,Oui,,,,442 kWh/m²,G,20210625-0000591537-01-2,88 kg CO₂/m²,Non communiqué,,500 €,Non,Après la signature de l’acte,,2,,,160 m²,Oui,,1,,,,Non,,,,,,,Connecté,Oui,,8 m²,,Non,Non,Oui,,,Oui,,,Non,,Gaz,,,,,Oui,415.000 €,,,"Avenue d'Itterbeek, 60
1070 - Anderlecht",,,,Excellent état,,18 m²,11 m²,18 m²,11 m²,16 m²,4397818,,25 m²,22 m²,,2 m²,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,31 août 2024 - 00:00,,,Semi-équipée,5,,,Oui,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,4.494 €,Non,Selon le locataire,9.5 m,2,,7,829 m²,,,,,,Oui,Non,,512 m²,,,,,Connecté,Oui,,,,Non,Non,,Oui,,Oui,,,Non,,Gaz,,,,,Oui,2.750.000 €,9.5 m,Oui,"Avenue Legrand 30
1050 - Ixelles",,,1901,À rafraîchir,,,,,,,4405393,825 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,5,4,,,,,,72988 kWh/m²,G,201412160000263060015,Non communiqué,Non communiqué,,,Non,,,2,,,300 m²,,,,,,,Non,Non,100 m²,,,,,Non connecté,Oui,,,,,,,,,,,,,,Gaz,Non,Non,Non,Oui,Oui,975.000 €,,,"Place du Châtelain 35
1050 - Ixelles",,,,,,,,,,,,,20 m²,,Autre type de zone,,,Non,Non,Zone non inondable,,,Non,,,,,,,,,,,,,72988,,,,,,,,,,,
102,,,,,,,,,,,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,1.291 €,Oui,,,2,,,330 m²,,Non,,,Non,,Oui,Non,90 m²,Non,Non,Non,Non,,Oui,82 m²,,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Gaz,Non,Non,Non,Oui,Oui,1.250.000 €,,,,,,,,Aménagé,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,"INVESTISSEMENT STRATEGIQUE -IMMEUBLE DE RAPPORT A VENDRE – SAINT BONIFACE- A un excellent emplacement, entre le Parlement Européen,la place Londres et Boniface, un bel immeuble de rapport composé de 3 unités : Rez duplex +/- 125m2 avec jardin - 1 er étage appartement de 2 chambres (+/- 68 m2) 2ème étage : triplex de +/- 135 m2 - 4 chambres- cuisine super équipée chambres - Électricité aux normes - Double vitrage - Chauffage individuel au gaz – PEB en cours Rendement locatif € 61.000,-/an POUR LES VISITES OU PLUS DES INFO GSM 0475660876 ou sara@urban-life.be",,,,,,,,,,
103,,,,,,,,5,3,,,,,,111672 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,,Non,,,2,,,400 m²,,,,,,,Non,Oui,182 m²,,,,,Non connecté,Non,90 m²,,,Non,Non,,Oui,,,,,,,Gaz,Non,Non,Non,Non,Oui,1.495.000 €,,,"Place du Châtelain 35
1050 - Ixelles",,,,,,,,,,,,,23 m²,,Autre type de zone,,,Non,Non,Zone non inondable,,,Non,,,,,,,,,,,,,111672,,,,,,,,,,,
104,,,,,,Oui,Américaine non-équipée,3,2,,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Selon le locataire,,2,1,,600 m²,Oui,Non,,,,,Non,Non,,Non,Non,Non,Oui,Non connecté,Non,120 m²,,Non,Non,Non,Oui,Non,,Oui,,,Non,,Gaz,Non,Non,Non,Non,Oui,2.300.000 €,,,"Avenue Louise 404a
1050 - Ixelles",,,,Excellent état,,,,,,,5498590,750 m²,,,,,,Non,Non,,380 m²,Non,Non,,1,,,,,,,Non,,,,,,,,,,,,,,,
105,,,,,180 m²,,4,22 m²,2,Oui,,,,,G,Non communiqué,118 kg CO₂/m²,Non communiqué,Gaz,,,"Avenue des Arts 18
1210 - Bruxelles",Après la signature de l’acte,,2,,,30 m²,,,3,,,Non,Connecté,,,,,,,Oui,8 m²,,Non,,Non,Oui,Non,,,,,,598 kWh/m²,,Oui,,,,,Faire offre à partir de 550.000 €,Non,,,4489927,,,1886,Bon,,19 m²,12 m²,10 m²,3,,,,Hyper équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,Équipée,4,2,2,,,Oui,Ouest,253 kWh/m²,E,Non communiqué,72 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,,2,1,,270 m²,,,,,,Oui,Non,,,,,,,,Oui,,,,,,,,,,,,,,Gaz,,,,,Oui,750.000 €,,Oui,"Venelle de la réserve 2
1300 - Wavre",,,,À rafraîchir,,27 m²,27 m²,20 m²,17 m²,,5319 - 5053,,60 m²,11 m²,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,Hyper équipée,5,3,,Oui,,,,238 kWh/m²,E,Non communiqué,47 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,9 m,3,1,2,530 m²,Oui,,3,,,Oui,Non,,,,,,,Connecté,Oui,,,,Non,Non,Oui,Oui,,,,,Non,,Gaz,,,,,Oui,2.650.000 €,9 m,Oui,"Avenue Legrand 30
1050 - Ixelles",,,1912,Bon,,26 m²,22 m²,22 m²,13 m²,,4450381,530 m²,38 m²,13 m²,,,,,,Zone non inondable,35 m²,,,,,44 m²,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,Équipée,5,3,4,,,,,293 kWh/m²,F,20200625-000057047-01-49,58 kg CO₂/m²,Non communiqué,,,Non,,,2,,,320 m²,,,,,,,Non,,86 m²,,,,,,,,,,,,,,,,,,,,Gaz,Non,Non,Non,,Non,1.145.000 €,,,"Avenue Emile de Beco 89
1050 - Ixelles",1050RBV030,,1900,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,AS BUILD,,,,,,,,,,,,,,
109,,,,,,Oui,Équipée,5,1,3,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,2,,,285 m²,,,2,,,,Non,,165 m²,,,,,,,90 m²,15 m²,,,,,,,,,,,,,Non,Non,Non,,Non,775.000 €,,,"Rue Des Carmélites 88
1180 - Uccle",,,,,,,,,,,14939JAMB,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,1 septembre 2021 - 00:00,,Oui,Hyper équipée,6,3,3,,,,,300 kWh/m²,F,20120210-0000057400-01-3,64 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,8 m,2,,,620 m²,Oui,,2,,,,Non,Oui,185 m²,,,,,Connecté,Oui,80 m²,46 m²,,Non,Oui,Oui,,,,,,Non,,Gaz,,,,,,1.550.000 €,8 m,,"Rue Berkendael 19
1190 - Vorst",,,1906,Excellent état,,30 m²,30 m²,10 m²,15 m²,15 m²,4536151,620 m²,,12 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Zone non inondable,,,,,,100 m²,,,,,,,,,,,,,,,,,,,,,
111,,,,1 juillet 2022 - 00:00,,,,6,2,,Oui,,Oui,Sud-est,259 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,2.830 €,Non,,7 m,2,,,525 m²,,,3,,,Oui,,,300 m²,,,,,,,,,,,,,,,,,,,,,,,,,,1.750.000 €,,Oui,"avenue Montjoie 156
1180 - Uccle",215/1624,,,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Non,"mercr. 15-22-29/9 de 12h30-14h30 et sam. 18-25/9, 2/10 de 14-16h. MAX 2 PERS. MASQUE OBLIGATOIRE. Gel hydro-alcoolique (non fourni).",Après la signature de l’acte,,Oui,Équipée,2,2,Oui,90 m²,,,,,20210616-0000590862-01-4,Non communiqué,Non communiqué,360.000 €,1.621 €,Oui,"Avenue Louise, 65/5
1050 - Bruxelles-Quartier Louise",Thomas LE GRELLE,Oui,,,,,,5,,,,,507 kWh/m²,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,Semi-équipée,3,1,3,,,,,335 kWh/m²,F,Non communiqué,67 kg CO₂/m²,Non communiqué,,1.202 €,Non,,6 m,2,,,180 m²,,,,,,Oui,Non,,,,,,,,,150 m²,20 m²,,,,,,,,,,,,Gaz,,,,,Oui,,,,"Rue J. Hazard, 35
1180 - Uccle",,,1920,,,,,,,,218710 - 111115161,,240 m²,,,,,,,,,Non,,,,,,,,,,,,,,,,600.000 €,50.000 €,1.450 €,Oui,Oui,Oui,2,"71, 71",17 ans,
114,,,,,,,Hyper équipée,4,2,1,,,Oui,Nord,225 kWh/m²,E,20201130-0000579009-01-0,Non communiqué,Non communiqué,,,Non,Après la signature de l’acte,,2,1,,220 m²,,,,,,,Non,,,,,,,,Oui,,11 m²,,,,,,,,,,,,Gaz,,,,,,700.000 €,,,"Venelle de la réserve 2
1300 - Wavre",,,,Excellent état,,20 m²,19 m²,14 m²,13 m²,,4766 - 2858,,34 m²,7 m²,,7 m²,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,4,3,,Oui,,,,268 kWh/m²,E,201212190000136333011,57 kg CO₂/m²,Non communiqué,,4.438 €,Non,,,2,1,1,500 m²,,,1,,,Oui,,Oui,170 m²,,,,,,,,50 m²,,Non,,,,,,,,,,Gaz,,,,,Oui,2.350.000 €,,,"Avenue J. Burgers, 2 b24
1180 - Uccle",,,,Bon,,,,,,,010/16002,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,Équipée,3,2,4,Non,,Oui,Nord-est,153 kWh/m²,D,20190524-00000550163-01-5,Non communiqué,Non communiqué,,,Non,Après la signature de l’acte,,4,,,285 m²,,,,,,,,Oui,,,,,,,,,,,Non,,,Oui,,,,,,,,,,,,Oui,795.000 €,,Oui,"Rue Darwin 56
1050 - Ixelles",,,,,,,,,,,V80000705,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,200 m²,,,12 m²,3,18 m²,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Non,"Venelle de la réserve 2
1300 - Wavre",Selon le locataire,,,,,75 m²,,,,,,,55 m²,,Oui,,,,,,7 m²,,Non communiqué,,,,,,,,,,,,,,,,,,1.600 €,,,4490 - 2722,,,,,,12 m²,12 m²,10 m²,3,,,,12 m²,4,,Non,,,,,,725.000 €,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,3,2,,Non,Oui,,,381 kWh/m²,G,20190430-000548571-01-4,Non communiqué,Non communiqué,,2.545 €,Oui,Après la signature de l’acte,6 m,2,,,356 m²,,,,,,Oui,,,200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,850.000 €,,Oui,"99 Chaussée de Bruxelles
1410 - Waterloo",,,,,,,,,,,174/6909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Non,Après la signature de l’acte,,,,Oui,5,Oui,,,Oui,291 kWh/m²,,,F,20201127-0000578887-01-6,Non communiqué,Non communiqué,Non,1.063 €,Non,"Boulevard Auguste Reyerslaan, 41 / 7
1030 - SCHAERBEEK",Oui,,,,,,Équipée,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,430.000 €,,,,,,Christine TOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,9,9,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Après la signature de l’acte,,3,,,,,,,,,Oui,Non,,100 m²,,,,,,Oui,,,,,,Oui,,,,,,,,Mazout,,,,,,775.000 €,,,"Avenue Louise 367
1050 - Bruxelles",,"Quartier Louise, Place Stéphanie",1941,À rénover,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Delbar Francesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,Pas équipée,,4,5,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,,400 m²,,,1,,,Oui,Non,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,1.245.000 €,,Oui,"Rue Washington 128b
1050 - Bruxelles",,,,,,,,,,,9017 - 1117,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,Hyper équipée,4,2,2,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Après la signature de l’acte,,2,,,200 m²,,,,,,Oui,Non,,67 m²,,,,,Connecté,Oui,,,,Non,Non,Oui,,,,,,Non,,Gaz,,,,,Oui,645.000 €,,,"Avenue Louise 523
1050 - Ixelles",,,,Bon,,12 m²,20 m²,20 m²,12 m²,,4495312,,30 m²,23 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,1 décembre 2022 - 00:00,,,,,,,,,,,45 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Non,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rue Defacqz 40
1050 - Ixelles",,,,,,,,,,,4365564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,Hyper équipée,6,5,4,,Oui,,,300 kWh/m²,F,Non communiqué,64 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,8 m,2,,,620 m²,Oui,,2,,,Oui,Non,Oui,180 m²,,,,,Connecté,Oui,,20 m²,,Non,,Oui,Oui,,,,,Non,,Gaz,,,,,Oui,1.550.000 €,8 m,,"Avenue louise 523
1050 - Ixelles",4533844,Bruxelles (19 communes),1906,Excellent état,,24 m²,24 m²,16 m²,16 m²,28 m²,,,30 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,Oui,Semi-équipée,5,3,4,,,,,490 kWh/m²,G,20201103-0000577676-01-5,98 kg CO₂/m²,Non communiqué,,,Oui,Après la signature de l’acte,6 m,2,,,260 m²,,,2,,,Oui,Non,,144 m²,,,,,,Oui,,19 m²,,,,,,,,,,,,Gaz,,,,,Oui,650.000 €,,,"Rue Franklin 90
1000 - Bruxelles ville",,Bruxelles (19 communes),1900,À rénover,"Zone d'habitat (résidentiel, urbain ou rural)",20 m²,20 m²,20 m²,15 m²,11 m²,4528331,125 m²,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,1 décembre 2021 - 00:00,,,Équipée,6,2,2,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Après la signature de l’acte,,2,,,210 m²,,,1,,,,Non,,70 m²,,,,,,,70 m²,,,,,,,,,,,,,Gaz,,,,,Oui,649.000 €,,,"Avenue Louise 160 Rez
1050 - Bruxelles",,,1940,Bon,Urbain,20 m²,20 m²,20 m²,125 m²,,4533431,,30 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
