,À partir de,Année de construction,Largeur de la façade à rue,Nombre de façades,Salon,Salle à manger,Chambres,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Obligation de construire,Autorisation de lotissement,Prix,Immeuble de rapport,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Adresse,Surface habitable,Terrasse,Site internet,Parkings extérieurs,Type d’environnement,Type de cuisine,Raccordement à l'égout,Surface du jardin,Type de zone inondable,Référence externe,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,État du bâtiment,Surface du grenier,Jardin,Orientation du jardin,Attestation de conformité des citernes à mazout,Type de chauffage,Parkings intérieurs,Attestation as-built,Revenu cadastral,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Cave,Orientation de la terrasse,Niveau E (performance énergétique globale),Salles de douche,Largeur du terrain à rue,Surface de la terrasse,Visite virtuelle,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Surface constructible totale au sol,Surface de bureau,Parlophone,Piscine,Accès sécurisé / alarme,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Nom du bien,Quartier ou lieu-dit,Combien de feux ouverts ?,Surface de l'espace professionnel,Nombre d'annexes,Climatisation,Jacuzzi,Sauna,Internet,Disponible le,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Isolé
10,,,,,Oui,,3,Non,1,,,Non,,,,,,Non,Non,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,,,,,285.000 €,Non,,,"Kersenlaan 4
2240 - Zandhoven",,,Mol-wezel-kinabo-3,,,,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,Oui,,3,Non,1,,,Non,,,,,,Non,Non,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,,,,,310.000 €,Non,,,"Kersenlaan 4
2240 - Zandhoven",,,Mol-kinabo-3,,,,Non connecté,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,À définir,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,,,Non,,,"Leopoldstraat 37
2800 - Mechelen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,1935,,3,,,2,,1,1,,,,,Non,,655 m²,,,,,,350 kWh/m²,D,20210801-0002447073-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,229.000 €,Non,Non,Non,"De Heuvels 15
2430 - Laakdal",150 m²,,1045 - 1646,,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,Oui,Sud,,Gaz,1,Non,483 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1958,,3,,,3,,1,1,,,,,Non,,1450 m²,,,,,Oui,661 kWh/m²,F,20200808-0002301656-RES-1,Non communiqué,Non communiqué,,,,,,Oui,,,Non,235.000 €,Non,Non,Non,"Voogdijstraat 12
2400 - Mol",,,2874 - 257,1,,Semi-équipée,,,Zone non inondable,,,À rafraîchir,,,,"Oui, conforme",Mazout,1,Non,674 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,À définir,,,,,,3,Non,,1,,,,Oui,Non,,380 m²,,,,,Oui,485 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,Oui,,,Non,235.000 €,Non,Non,Non,"Statiestraat 47
2400 - Mol",123 m²,Oui,,,,Équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,Oui,Nord-ouest,,Gaz,1,Non,609 €,38 m²,10 m²,16 m²,11 m²,10 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,À définir,,,,,,3,Non,,1,,,,Oui,Non,,163 m²,,,,,Oui,673 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,Oui,,,Oui,295.000 €,Non,Non,Non,"Statiestraat 47
2400 - Mol",150 m²,Oui,,1,,Équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Gaz,1,Non,924 €,,,,,,Oui,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,À définir,,,,,,3,Non,,2,,,,Oui,Non,,311 m²,,,,,Oui,139 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,,,,,335.000 €,Non,,,"Statiestraat 47
2400 - Mol",195 m²,Oui,,1,,Hyper équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,Oui,Sud-est,,Gaz,,,,34 m²,9 m²,16 m²,16 m²,8 m²,,Sud-est,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,1995,,4,,,3,,1,2,,,,,Non,,1050 m²,,,,,,294 kWh/m²,C,0001320711-00000013-5,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Oui,410.000 €,Non,Non,Non,"Bevrijdingsplein 4
3970 - Leopoldsburg",206 m²,,1314245 - 1308651,,,Hyper équipée,,924 m²,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,,Sud,,Gaz,2,Non,,46 m²,,,,,,,,1,20 m,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,À définir,,,,,,3,Non,,2,,,,Oui,Non,,1725 m²,,,,,Oui,627 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,,,299.000 €,Non,,,"Statiestraat 47
2400 - Mol",222 m²,Oui,,,,Équipée,Connecté,,,,,Bon,,Oui,Nord-ouest,,Mazout,,,,48 m²,11 m²,19 m²,15 m²,14 m²,Oui,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,À définir,,,,,,3,Non,,1,,,,Oui,Non,,269 m²,,,,,Oui,668 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Oui,,,Oui,168.000 €,Non,Non,Non,"Statiestraat 47
2400 - Mol",112 m²,Oui,,,,Semi-équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,Oui,Est,,Mazout,1,Non,,,,,,,Oui,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,À définir,,,,,,16 m²,1,,Oui,,,,Non,509 m²,,Connecté,,,,,Oui,D,20081029-0000005920-00000017-9,Non communiqué,Non communiqué,Non,Oui,,,,Oui,Non,,,Non,Non,"Leopoldstraat 37
2800 - Mechelen",Non,Zone non inondable,,33 m²,,,1,,15 m²,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,209.000 €,Bon,,Sud-est,381 kWh/m²,,Non,,Gaz,,Équipée,3,15 m²,15 m²,Non,,,,,,,140 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,À définir,,,,,,3,Non,,1,,,,,Non,,1355 m²,,,,,Oui,798 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,,,245.000 €,Non,,,"Statiestraat 47
2400 - Mol",182 m²,,,,,Semi-équipée,Connecté,,Zone non inondable,,,À rafraîchir,,,,,Mazout,,,,38 m²,12 m²,20 m²,20 m²,19 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,À définir,,,,,,3,Non,,1,,,,Oui,Non,,1147 m²,,,,,Oui,560 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Oui,,,Non,259.000 €,Non,Non,Non,"Statiestraat 47
2400 - Mol",158 m²,,,,,Semi-équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,,,,Gaz,,,,48 m²,12 m²,16 m²,16 m²,14 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,À définir,,,,,,3,Non,,1,,,,Oui,Non,,117 m²,,,,,Oui,529 kWh/m²,F,20201201-0002345887-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,,Oui,Oui,,,Non,328.000 €,Non,Non,Non,"Statiestraat 47
2400 - Mol",154 m²,Oui,,,,Équipée,Connecté,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Électrique,,Non,,,,,,,Oui,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,À définir,,,,,,5,Non,,2,,,,Oui,Non,,837 m²,,,,,Oui,277 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,Oui,,,Non,480.000 €,Non,Non,Non,"Statiestraat 47
2400 - Mol",275 m²,Oui,,,,Hyper équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,Oui,Sud-ouest,,Mazout,1,,,43 m²,19 m²,19 m²,18 m²,18 m²,Oui,Sud-ouest,,,,,,17 m²,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,
26,À définir,,,,,,3,Non,,2,,,,Oui,Non,,265 m²,,,,,Oui,458 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Oui,,,Non,269.000 €,Non,Non,Non,"Statiestraat 47
2400 - Mol",180 m²,Oui,,,,Équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,Oui,Sud,,,,Non,706 €,,,,,,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,1967,,,,Oui,7,Non,1,2,,Non,,,,,1289 m²,Non,Non,Non,Non,Non,403 kWh/m²,E,20210805-0002448606-RES-1,Non communiqué,Non communiqué,,,,,Non,Oui,Toutes sortes,Non,Non,395.000 €,Non,Non,Non,"Brasemstraat 8
2400 - Mol",285 m²,,M0085,,,,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rénover,,Oui,Sud-est,,Mazout,1,,1.432 €,,,25 m²,25 m²,12 m²,,,,,,,,10 m²,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,
28,Après la signature de l’acte,1980,,4,,,3,Non,2,2,Oui,Non,,,Non,,733 m²,,,,,,361 kWh/m²,D,20210409-0002399350-RES-1,Non communiqué,Non communiqué,Non,,,,Oui,Oui,,Non,Oui,354.000 €,Non,Non,Non,"Zandhoef 4
2460 - Kasterlee",175 m²,,Mol_Rijtenhof 30_TeK,,,Hyper équipée,,733 m²,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,Nord-est,"Oui, conforme",Mazout,3,,939 €,34 m²,19 m²,21 m²,13 m²,12 m²,,,,1,18.3 m,12 m²,,,,115 m²,123 m²,,,,,,,,,,,,,,,,,,,,,,,
29,,1960,,,,,4,Non,2,,,Oui,,,,,1560 m²,Non,Non,Non,Non,Oui,313 kWh/m²,D,20180831--000208648-5--1,Non communiqué,Non communiqué,,,,,Oui,Oui,Toutes sortes,Non,Non,459.000 €,Non,Non,Non,"Brasemstraat 8
2400 - Mol",202 m²,,MV0084,,,Équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Fraîchement rénové,36 m²,Oui,Sud,,Gaz,3,,1.460 €,,17 m²,18 m²,18 m²,17 m²,,,,,,,,16 m²,,,,4 m²,,,,,,,,,,,,,,,,,,,,,,
30,,2012,8 m,3,Oui,,4,,1,2,,Non,,,Non,Non,298 m²,,,,,Oui,132.43 kWh/m²,B,13025-G-2008_23669/EP10386/A001/D05/SD001,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,339.000 €,Non,Non,Non,"Stationsstraat 69
2440 - Geel",214 m²,Oui,V&G/G/3670,3,,Équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Gaz,1,,1.098 €,,,,,,,,,,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,1981,,,,Équipée,16 m²,1,1,Non,,66 m²,,,,,Non,Non,Non,Non,Connecté,Oui,C,20130717-0001410884-00000013-8,Non communiqué,Non communiqué,Gaz,,,,,Oui,Toutes sortes,Non,Non,Non,1.252 €,"Brasemstraat 8
2400 - Mol",Non,Zone d'inondation reconnue,MH0080,Oui,,,,,14 m²,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,465.000 €,Excellent état,,Sud-ouest,273 kWh/m²,,Oui,2,,Non,,3,16 m²,11 m²,Non,,,,,,,222 m²,,,933 m²,,,,,,,,,,,,,,,,,,,,,,,,
32,À la livraison,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Non,,Oui,Non,Non,"Markt 20
2440 - Geel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,À définir,,,,,,3,Non,,2,,,,Oui,Non,,,,,,,Oui,94 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Oui,,,,,485.000 €,Non,,,"Statiestraat 47
2400 - Mol",287 m²,,,1,,Hyper équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,,,,Gaz,1,,,44 m²,15 m²,27 m²,20 m²,15 m²,Oui,,60,1,,983 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,1997,,4,,Oui,5,,2,4,,,,,Non,,2358 m²,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,745.000 €,Non,Non,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",414 m²,,1314246 - 1307884,5,,Équipée,,1000 m²,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,Nord,,Gaz,4,Non,2.247 €,30 m²,24 m²,35 m²,17 m²,12 m²,Oui,,,1,38 m,60 m²,,10 m²,9 m²,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,
35,,1956,,,,,3,Non,1,1,Oui,Non,,,,,280 m²,Non,Non,Non,Non,Oui,310 kWh/m²,D,20210805-0002448592-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,Non,Non,209.000 €,Non,Non,Non,"Brasemstraat 8
2400 - Mol",130 m²,,MH0061,,,,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,Oui,Sud-ouest,,Gaz,,,508 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,1957,,,,Oui,4,Non,2,1,Oui,Non,,,,,1425 m²,Non,Non,Non,Non,Oui,373 kWh/m²,D,20210912-0002463180-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,,Non,Non,295.000 €,Non,Non,Non,"Brasemstraat 8
2400 - Mol",169 m²,,MH0073,,,,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Fraîchement rénové,,Oui,Sud-ouest,,Gaz,,,470 €,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,1999,10 m,4,Oui,,3,,,2,,Non,,,Non,Non,938 m²,,,,,Non,182 kWh/m²,B,20200817-0002304584-RES-2,Non communiqué,Non communiqué,,,,,Oui,Oui,,,Non,599.000 €,Non,Non,Non,"Stationsstraat 69
2440 - Geel",300 m²,Oui,V&G/G/3516,5,,,Non connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,,Gaz,1,,2.823 €,,,,,,Oui,,,,16 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,1931,,2,,,1,,Non,,,,,,Non,254 m²,Connecté,,,,,Oui,E,2227298,Non communiqué,Non communiqué,438,Non,Non,Non,Oui,Non,,,,Non,218 €,"Stationstraat 125
2440 - Geel",Non,Zone non inondable,,3,438 kWh/m²,,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,229.000 €,À rafraîchir,,,,Mazout,Non,,,Non,,,,,,,,Non,,,,101 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,1961,,,,,4,Oui,1,,Oui,Non,,,,,660 m²,Non,Non,Non,Non,Non,424 kWh/m²,E,20210810-0002450151-RES-1,Non communiqué,Non communiqué,,,,,Oui,Oui,Toutes sortes,Non,Non,269.000 €,Non,Non,Non,"Brasemstraat 8
2400 - Mol",195 m²,,MH0066,,,,Non connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,Oui,Nord-ouest,,Mazout,1,,856 €,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,1968,,,,,Non,Non,,,,Oui,,,,,Non,Non,Non,Non,Non connecté,Oui,F,20210415-0002401860-RES-1,Non communiqué,Non communiqué,Mazout,,,,,Oui,Toutes sortes,Non,Non,Non,Non,"Brasemstraat 8
2400 - Mol",Non,Zone non inondable,MH0050,Équipée,,,,,4,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,325.000 €,À rénover,,Nord,701 kWh/m²,,Non,1,,,,,,,,1810 m²,,,,,,185 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,1978,,4,,,3,,1,2,,,,,,,1040 m²,,,,,Oui,198 kWh/m²,B,20210615-0002429542-RES-1,Non communiqué,Non communiqué,,,,,Oui,,,,,330.000 €,Non,,,"Markt 5
2480 - Dessel",150 m²,Oui,4396848,4,,Équipée,Connecté,,,,,Bon,,,,,Gaz,2,,,,,,,,Oui,,,1,16.9 m,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
42,Après la signature de l’acte,2010,,,,,4,Non,2,,,Oui,,,Non,,877 m²,,,,,,77 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,Oui,,Non,Non,569.000 €,Non,Non,Non,"Herenthoutseweg 5
2200 - Herentals",280 m²,,TV-POS26,,,Équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,35 m²,,,Non,Électrique,,,,,18 m²,13 m²,15 m²,15 m²,,,,,,15 m²,,20 m²,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,
43,,1966,,,,Oui,4,Non,1,1,Oui,Non,,,,,678 m²,Non,Non,Non,Non,Non,587 kWh/m²,F,20210923-0002468097-RES-1,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Non,249.000 €,Non,Non,Non,"Brasemstraat 8
2400 - Mol",165 m²,,MH0081,,,,Non connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",À rénover,,Oui,Nord-ouest,,,1,,550 €,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,À définir,,,,,,3,Non,,1,,,,,Non,,,,,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,,,230.000 €,Non,,,"Statiestraat 47
2400 - Mol",66 m²,Oui,,,,Hyper équipée,Connecté,,,,,Excellent état,,Oui,Est,,,,,,,,,,,,Sud-est,,,,,,,,,,,,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,
45,,2022,7.16 m,,,,3,Non,1,2,,Non,,,Non,,451 m²,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,,,Non,Oui,305.722 €,Non,,,"Industrieweg 41
3583 - Paal",153 m²,,,,Pays,Équipée,Connecté,,Zone non inondable,Mol_Lot_02 [2566882],,Excellent état,,Oui,Sud,Non,Gaz,,,,,,,,,,,28,,12 m,,,,,,153 m²,,,,,,,,,,,,,,,,,,,,,,,
46,Après la signature de l’acte,1966,,3,,,3,,1,,,,,,,,400 m²,,,,,,567 kWh/m²,F,20211001-0002471444-RES-1,Non communiqué,Non communiqué,,,,,,Oui,,,Non,249.500 €,Non,Non,Non,"Rondplein 13/2
2400 - Mol",158 m²,Oui,4520699,1,,,,,Zone inondable potentielle,,"Zone d'habitat (résidentiel, urbain ou rural)",À rafraîchir,,,,,,1,,1.093 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,2005,,,Oui,,4,Non,3,5,Oui,Non,,,Non,,88 m²,Non,Non,Non,Non,Oui,107 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,Oui,,Non,Non,850.000 €,Oui,Non,Non,"Binnensingel 70 / 2
3920 - Lommel",,Oui,spir2044 [3037181],,,Équipée,Connecté,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,,,,Non,Gaz,,,4.192 €,,,,,,Oui,,,,,,,,,,,,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,,,,,,,,
48,Après la signature de l’acte,,,4,,,4,Non,1,1,,Non,,,Non,,1052 m²,,,,,,498 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,,,Non,,,Non,,245.000 €,Non,,,"Herenthoutseweg 5
2200 - Herentals",124 m²,,TV-AST6,,,Équipée,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Bon,,,,Non,Gaz,,,,,,12 m²,15 m²,9 m²,,,,,,25 m²,,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
