,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Buanderie,Surface de la cave,Meublé,Surface du terrain,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Parkings extérieurs,Combien de feux ouverts ?,Dressing,Salles de douche,Bureau,Espace professionnel,Porte blindée,Terrain arrière,Raccordement à l'égout,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Parkings intérieurs,Grenier,Isolé,Attestation de conformité des citernes à mazout,Jardin,Terrasse,Climatisation,Panneaux photovoltaïques,Accessible aux personnes avec un handicap,Nom du bien,Ascenseur,Accès sécurisé / alarme,Interphone vidéo,Surface de bureau,Salon,Surface du grenier,Terrain à front de rue,Terrain boisé,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Cave,Concierge,Jacuzzi,Sauna,Piscine,Internet,Obligation de construire,Visite virtuelle,Largeur du terrain à rue,Mise à prix,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Disponible le,Niveau E (performance énergétique globale),Valeur du bien,Bouquet,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Surface de l'espace professionnel,Nombre d'annexes,Surface constructible totale au sol,Informations supplémentaires,Charges mensuelles
83,Après la signature de l’acte,,1980,À rafraîchir,4,,478 m²,56 m²,Oui,Équipée,40 m²,9,36 m²,16 m²,16 m²,14 m²,25 m²,3,,,,Non,8000 m²,,Non,,,30 m²,,,414 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,Zone non inondable,,2.750.000 €,8.970 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4279552,10 m,20,,,,,,,,Connecté,,,,,1,,,,,,,,Oui,,Non,Oui,,,,,,,,,,,,Oui,,,,Non,,,,18 m,,,,,,,,,,,,,,,,,658 m²,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,Après la signature de l’acte,30 septembre 2021 - 00:00,,1930,Bon,,,220 m²,73 m²,,Équipée,26 m²,,,,,18 m²,17 m²,13 m²,12 m²,2,2,6 m²,,,,Oui,,Non,907 m²,Non,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,,700 m²,2,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Après la signature de l’acte,,1959,Bon,4,,50 m²,Oui,Équipée,40 m²,7,36 m²,17 m²,17 m²,13 m²,13 m²,3,Oui,,,,7925 m²,Non,,7700 m²,Oui,,,,,E,20201002-0002322626-res-1,5160 kg CO₂/m²,Non communiqué,Mazout,Oui,2.750.000 €,,,,8.970 €,Non,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4263776,,,5,,,,,,,,,,,,,3,,,,,Non,,,Oui,,Non,Non,,,,,,,,,,,,Non,,,,414 kWh/m²,,,475 m²,,,,,,,11 février 2021 - 00:00,,,,,,,,,,,,,
89,,,,,,,Excellent état,4,1,2,150 m²,40 m²,Oui,Hyper équipée,10 m²,,,3,20 m²,,,2,2,,,,,Oui,,,Non,Non,Oui,Non,500 kWh/m²,E,20210901 000245 8709 RES 1,,,,Non communiqué,Non communiqué,Gaz,Oui,1.185.000 €,,1950,,,,,,,,,,,,,À définir,13 m²,,,,,,,992 m²,,Non,14.59 m,,,,,,,,,,,2.868 €,15 m²,,,,30 m²,,,,Oui,,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,,,,4,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,,,Équipée,,3,,,,,,1,2,,,,132 m²,,Oui,,,,,Oui,456 kWh/m²,E,20151019-0001803378-1,Non communiqué,Non communiqué,,,,,,429.000 €,,,"Avenue Louise 54
1050 - Bruxelles",,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,,,,,,,,,Équipée,,3,,,,,,1,1,,,,162 m²,,,,,,,,175 kWh/m²,B,20210719-0002443469-RES-1,Non communiqué,Non communiqué,,,,,,,1.544 €,Non,"Koningin Astridlaan, 4
1950 - Kraainem",,,,,,1,,,,,,,,,,1,Oui,,,,,,,,,,Oui,Oui,,Oui,,,,,,,,,Oui,,,,,,,,,390.000 €,Lena DESCHRYVERE,,Non,(àpd 28/8 au 25/9) : sam. de 10-12h et mercr. de 17-19h.,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,32 m²,22 m²,,,5,16 m²,15 m²,10 m²,9 m²,9 m²,1,1,Oui,,,300 m²,Oui,,150 m²,Sud-est,30 m²,225 kWh/m²,,,C,20201219-0002352487,116 kg CO₂/m²,Non communiqué,Non,Oui,500.000 €,,,,Non,,"Venelle de la réserve 2
1300 - Wavre",4512 - 2737,,,,,,3,,,,,,Pellets,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,210 m²,,,,,,,,,,,,,,,,,,,,
94,1971,,165 m²,,,,Équipée,,,1,,470 m²,,,,,,252 kWh/m²,,,,,C,,,,,,,,20210830-0002457745-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,2.102 €,,,"Van Severlaan, 71
1970 - WEZEMBEEK-OPPEM",Kuldip MALHI,,,,,,,,,,,,,,Oui,Zone inondable potentielle,320.000 €,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,Oui,,Non,,Non,"nl :
elke zat. van 10u-12u en dit vanaf zat. 23/10 tem zat. 13/11/2021",Après la signature de l’acte,,,,,,,,,,,,,,
95,"nl :
op zat. 9/10-16/10-23/10-30/10 en 6/11 van 10u-12u en op woe. 13/10/-20/10-27/10-3/11 van 14u-17u",,Après la signature de l’acte,,,,1953,,,,,190 m²,,,,,,3,,,,,Oui,,,,,,,,568 m²,560 kWh/m²,F,20201103-0002335623-RES-1,Non communiqué,,,,Non,,,320.000 €,2.295 €,Non,,,,,,,1,,,,,,,Non communiqué,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,"Tenboslaan, 6, 1
1560 - Hoeilaart",,,Non,,,,,,,,,,,,,,
96,1966,,137 m²,,,,Équipée,,,1,,Oui,,,,,,690 m²,,,,,F,,,,,,,,20210818-0002452752-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,2.025 €,,,"Beiaardlaan 40
1850 - Grimbergen",Aoife MORIARTY,,,,,,,,,,,,,,Oui,Zone non inondable,370.000 €,,774 kWh/m²,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,Oui,,Non,,Non,"nl :
bezoek na afspraak via am@grimnot.be op: - woe. 20/10 van 16u30-18u; - woe. 27/10 en 3, 10, 17 en 24/11 van 14u-16u; - zat. 23 en 30/10 en 6, 13, 20 en 27/11 van 10u-12u",Après la signature de l’acte,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Après la signature de l’acte,Stockel large,1926,Excellent état,4,"Zone d'habitat (résidentiel, urbain ou rural)",374 m²,52 m²,,,26 m²,8,20 m²,18 m²,18 m²,17 m²,17 m²,3,3,,40 m²,Non,396 m²,,,250 m²,,15 m²,,,335 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",845.000 €,2.940 €,Non,"Oppemlaan, 32
1950 - Kraainem",4452417,,,,,,Oui,,,,Connecté,,Oui,,Non,,,,,,,,,,,,,,16 m²,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Immédiatement,,1999,Excellent état,2,,190 m²,,,,,4,14 m²,14 m²,7 m²,25 m²,,1,2,,,Non,100 m²,Non,Oui,,,15 m²,Nord,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,475.000 €,1.122 €,Non,,,,2,1,Non,,Non,Non,Non,Non,Connecté,,,,,1,,,,,,Non,Non,Non,,Non,Non,Non,,,,Non,Non,Non,Non,Oui,Toutes sortes,,,Non,Non,Non,Non,Oui,,,7 m,,,,,,,,,,,,,,,,,,,
101,Immédiatement,,,À rafraîchir,3,"Zone d'habitat (résidentiel, urbain ou rural)",,50 m²,,Équipée,,3,10 m²,14 m²,16 m²,,,1,1,,45 m²,Non,460 m²,Non,Oui,1 m²,Sud-ouest,1 m²,Sud-ouest,,394 kWh/m²,D,20210708-0002439678-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone inondable potentielle,,485.000 €,,Non,,,,3,1,Non,,Non,Non,Non,Oui,Connecté,,,,Non,1,,,,,,,Non,,,,,,,,40 m²,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Après la signature de l’acte,,1970,À rafraîchir,2,,170 m²,,,,,3,,,,,,1,2,,,Non,,,,270 m²,,35 m²,,,344 kWh/m²,D,20210815-0002451621-RES-1,Non communiqué,Non communiqué,Mazout,,,,,465.000 €,,Non,"René Declercq 8D
1150 - Woluwe-St-Pierre",,,,,,,,,,,,,,,,1,Oui,,,,,,,,,,,,,Oui,,,,,,,,4430096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Après la signature de l’acte,,,À rénover,3,,125 m²,,,,,5,,,,,,1,,,,Non,300 m²,,Oui,235 m²,,10 m²,,,704 kWh/m²,F,20190917-0002196450-res-1,Non communiqué,Non communiqué,,,,,,320.000 €,,Non,"René Declercq 8D
1150 - Woluwe-St-Pierre",,,2,,,,,,,,Connecté,,,,,1,,,,,,,,,,,,,,,,,,,,,,4304200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,Après la signature de l’acte,1935,11 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",180 m²,,40 m²,Semi-équipée,10 m²,3,17 m²,15 m²,,,30 m²,1,2,Oui,12 m²,Non,Oui,Connecté,Oui,300 m²,,Oui,Oui,Oui,332 kWh/m²,D,20210428-0002404181-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",545.000 €,,1.636 €,"J. De Bruestraat 11 bus 4
1933 - Sterrebeek",Fraîchement rénové,3,,,1,8 m²,,,,Oui,,Oui,,,,,,,,Sud-ouest,,,Sud-ouest,,,Oui,,Oui,,,390 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Après la signature de l’acte,Agency Surrounding,1966,À rafraîchir,3,Urbain,37 m²,Hyper équipée,,9 m²,3,23 m²,23 m²,19 m²,1,,,2,Oui,,,340 m²,Oui,,100 m²,38 m²,,Non,,,F,2433088,42 kg CO₂/m²,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",550.000 €,2.791 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4395549,,13 m,,,,,,,,,,,Oui,Non,Non,1,Non,,,,,,,Non,,Oui,,,,,,,,,,,,,Oui,,,,801 kWh/m²,,,215 m²,,,,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,,1966,À rafraîchir,3,"Zone d'habitat (résidentiel, urbain ou rural)",115 m²,,,Équipée,,3,13 m²,10 m²,9 m²,,,1,1,Oui,,Non,367 m²,,,,,,,,390 kWh/m²,D,20210310000238921-RES-1,1122 kg CO₂/m²,Non communiqué,Gaz,Oui,,Zone non inondable,Zone d'extension d'habitat,395.000 €,1.767 €,Non,"Chaussée de Namur, 257
5310 - Leuze (Eghezée)",1056,6.8 m,,,Non,,Non,,,,,,,,Non,,,,Non,,,,,,,,,,,Oui,57 m²,,,Non,,,,,,,,,,,Non,,10 m,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,,1954,,3,,100 m²,26 m²,,,8 m²,2,13 m²,11 m²,,,,1,2,,,Non,230 m²,,Oui,,,16 m²,,,472 kWh/m²,E,20210823-0002455160-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,1.013 €,Non,"Dorp 6
1933 - Sterrebeek",4531065,,,,,,Oui,,,,,,Oui,Non,Oui,,Oui,,,,,,,,,,,,6 m²,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,À définir,,1967,,4,,150 m²,28 m²,,Semi-équipée,14 m²,4,11 m²,9 m²,11 m²,12 m²,,1,2,,40 m²,Non,389 m²,,,,Nord-est,,,,564 kWh/m²,F,2456687,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",565.000 €,2.746 €,Non,"Brusselsesteenweg, 15
3080 - Tervuren",spir353869,,1,1,Non,,Non,,,,,Non,Oui,Oui,Oui,1,,,Non,Oui,,,,,,,,,,,30 m²,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,225 m²,,
111,,,2021,Excellent état,,,275 m²,,,Hyper équipée,,4,,,,,,2,2,,,Non,1000 m²,,,,,,,Non,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Non,,,Zone d'extension d'habitat,850.000 €,,Non,"Heurkensberg 2
3700 - Tongeren",spir367,,,,Non,,Non,,,,,,,,,,,,Non,,,,,Non,,Non,Non,Oui,,,,,,Non,,,,,,Non,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",380 m²,,,,,5,,,,,,2,2,,80 m²,,600 m²,,,,,,,,283 kWh/m²,C,20210512-0002414243-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,665.000 €,,,"Avenue Louise 54
1050 - Bruxelles",,,3,,,,Oui,Oui,,,,,,,,1,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,162 m²,,,,,3,,,,,,,,,,,292 m²,Non,Non,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",451.722 €,,Non,"Impulsstraat 8
2220 - Heist-op-den-Berg",,9 m,,,Non,,Non,,,Non,Non connecté,,,Oui,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,NPL 21 / 026,,,,,,,Non,,9 m,,,,,,,,,,,,,,,,,81 m²,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,Bon,4,,455 m²,,,Hyper équipée,,4,,,,,,1,,,105 m²,Non,13246 m²,,Oui,,Sud,,,,542 kWh/m²,F,713009,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,Zone de parc,1.800.000 €,2.403 €,Non,"Boekvijverstraat 20
9506 - Zandbergen",1750 - spir168,17 m,50,3,,,Oui,,,,,Non,Oui,,,4,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,53 m,,,,,,,,,,,,,,,,,,,
116,Après la signature de l’acte,,,Excellent état,4,,850 m²,120 m²,,Équipée,60 m²,10,40 m²,40 m²,30 m²,30 m²,30 m²,12,10,,,Oui,18000 m²,,Oui,,,300 m²,,,95 kWh/m²,A,20210303-0002381584-RES-1,Non communiqué,Non communiqué,,Oui,,,,2.750.000 €,,Non,"Avenue Louise 367
1050 - Ixelles",,,,,,8,Oui,,,,Connecté,,,,,,,,,,,,,,,,Oui,,,,,,,,Oui,,,4402280,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,Après la signature de l’acte,1983,,Bon,1,,,300 m²,40 m²,,,,,,,,10 m²,4,10 m²,12 m²,18 m²,20 m²,2,Non,618 m²,Oui,197 kWh/m²,,B,0001842278,Non communiqué,,,,,4,,,,,,,1,2,Oui,,,,,,Hyper équipée,,,,,,,,,,,,,,,,,Non communiqué,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,À définir,,2012,Excellent état,4,"Zone d'habitat (résidentiel, urbain ou rural)",,31 m²,,Équipée,10 m²,6,11 m²,15 m²,9 m²,13 m²,20 m²,2,,Oui,,Non,473 m²,Non,Oui,,,30 m²,Sud-est,Non,151 kWh/m²,B,23096-GBA/078/2011/EP00039/F084/D01/SD001,151 kg CO₂/m²,Non communiqué,Gaz,Oui,,Zone non inondable,,610.000 €,982 €,Non,,,10 m,4,,Non,,Non,Non,Non,Non,Connecté,,,,,1,,,,,,Non,Non,Non,,Non,Oui,Non,,,,Non,Non,Non,Non,Non,,,,Non,Non,Non,Non,Oui,,,,,,,,,,79,,,,,,,,,1,,,
120,,,,,,,,,,Bon,,17 m,,,,,,4,,,50,455 m²,3,,4,,Oui,,,,Non,13246 m²,53 m,Oui,Oui,Oui,542 kWh/m²,713009,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,,,,,,4,,,,,Sud,F,,,,,,,1,105 m²,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,Hyper équipée,,,,,,,,,,,,,,,,,,,
121,Après la signature de l’acte,,2009,Excellent état,3,,206 m²,,,Équipée,,3,,,,,,1,3,Oui,,Non,693 m²,Non,Oui,600 m²,,51 m²,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,Zone non inondable,,595.000 €,,Non,,,,,,Oui,,Non,Non,Non,Non,,,Oui,,,,,,,,,Non,Non,Non,,Non,Non,Non,,Oui,,Non,Non,Non,Non,Non,,,,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
122,À la livraison,,2021,Excellent état,4,Urbain,202 m²,,,Équipée,,3,,,,,,1,2,,,,634 m²,,Oui,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",549.800 €,,Non,"Tervuursesteenweg 762 Bus 2
1982 - Elewijt",4411135,10.74 m,2,,,1,Oui,,,,Connecté,,Oui,Oui,Non,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,,2021,,3,,145 m²,49 m²,,Hyper équipée,,3,14 m²,11 m²,11 m²,,,1,2,,,Non,460 m²,,Oui,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,Zone agricole,446.000 €,,Non,"Brusselsesteenweg 31
1980 - Zemst",4308697,,,,,,,,,,Connecté,,Oui,Oui,Oui,,Oui,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,1998,,4,,290 m²,,,,,5,,,,,,2,2,,,Non,796 m²,,Oui,,,,,,199 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",615.000 €,,Non,"Brusselsesteenweg 420
1980 - Eppegem",372398 - 278,,3,,,,,,,,,Non,Oui,Oui,Oui,1,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,À rafraîchir,,,,,,,,4,,,,,,1,1,,,Non,,Non,Non,,Sud,,,,480 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,,Non,"Frederik de Merodestraat 3/1
2800 - Mechelen",,,,,Non,,Non,,,Non,Non connecté,,Oui,Non,Oui,1,,,,Oui,Oui,,,,,,,,,Oui,,Non,Non,,,,,8607,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,À définir,,Excellent état,Hyper équipée,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,1993,,,,300 m²,24 m²,Oui,Hyper équipée,25 m²,4,24 m²,12 m²,12 m²,12 m²,,2,2,,,,1300 m²,Non,Oui,,,,,Non,177 kWh/m²,B,20210613-0002428408-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.085.000 €,,Non,"Tramlaan 249
1933 - Sterrebeek",716 - Bremstraat,11 m,,,Non,,Oui,,,Non,Connecté,,Oui,,,1,,,,,,,,Non,,Non,Oui,Non,13 m²,,,Non,Non,,,,Toutes sortes,,,Non,,,Non,,Non,,31.69 m,,,,,,,,,,,,,,,,,,,
132,,,1993,Bon,,,5,,,,,Non,,,,,,Non,,,,,Non,Connecté,Non,,,,,Oui,C,2434390-RES-1,Non communiqué,Non communiqué,Non,,785.000 €,,,,2.979 €,Non,"Gemeenteplein, 22
3140 - Keerbergen",80135,,,,,2,,1305 m²,,,Non,Oui,,,,,2,,,,,,,,Non,,Non,Non,Non,,,,Non,Non,,,,,,,Non,,,283 kWh/m²,,,470 m²,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,À rafraîchir,,,,,,1,6,Équipée,3,1,1,2,Connecté,Oui,Oui,530 kWh/m²,,F,20210922 – 0002467413-RES-1,Non communiqué,,,,,,,,,,Après la signature de l’acte,,,Oui,Oui,,,,,,4,,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Après la signature de l’acte,,1960,Fraîchement rénové,3,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,16 m²,Oui,Équipée,20 m²,3,15 m²,15 m²,35 m²,,,1,1,Oui,,Non,280 m²,Oui,Oui,1 m²,Nord-ouest,3 m²,Est,Non,382 kWh/m²,D,20210909-0002461663-res 1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",355.000 €,627 €,Non,,,5 m,,1,Non,,Non,Non,Non,Non,Connecté,,Oui,Oui,Oui,,,,Non,,,Oui,Non,Non,,Non,Non,Non,,,,Non,Non,Non,Non,Non,,,,Non,Non,Non,Non,Oui,Non,,6 m,,,,,,,,,,,,,,,,,,,
135,,,1918,À rénover,3,,3,,,,,1,,,,,,Oui,,,,Non,Connecté,,633 kWh/m²,,,,,,F,20210901-0002458862-RES-1,Non communiqué,Non communiqué,633,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,493 €,Non,"Brusselsesteenweg, 180
1980 - Zemst",,,,,,,,,,300 m²,,Oui,,,Non,Non,,,,Mazout,,,,Non,,,,,,,,,,,Non,Non,Oui,,,Non,,,,,,,258 m²,,,,,,,,Non,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Après la signature de l’acte,,2012,Bon,4,,50 m²,,,Semi-équipée,6 m²,1,13 m²,,,,,1,,,,Non,344 m²,,Oui,,,,,,264 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,Autre type de zone,123.000 €,390 €,Non,"Tervuursesteenweg 257
1981 - Hofstade",492 - TK/20/28,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,1.600 €
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
