,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,État du bâtiment,Salon,Salle à manger,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Revenu cadastral,Largeur de la façade à rue,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Largeur du terrain à rue,Type de chauffage,Cave,Visite virtuelle,Raccordement à l'égout,Surface constructible totale au sol,Obligation de construire,Surface de la terrasse,Salles de douche,Type d’environnement,Grenier,Terrasse,Attestation de conformité des citernes à mazout,Orientation de la terrasse,Surface de bureau,Disponible le,Surface du grenier,Référence externe,Surface de la chambre 4,Isolé,Surface de la cave,Surface de l'espace professionnel,Nombre d'annexes,Surface de la chambre 5,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom de l'agent,Combien de feux ouverts ?,Revenu mensuel actuel,Pourcentage loué,Nom du bien
0,Après la signature de l’acte,2020,2,1,1,240 m²,Équipée,3,1,2,Non,240 m²,Oui,Nord-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,20,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",429.000 €,Non,"Kerkstraat 73
2940 - Stabroek-Hoevenen",47 - 93363843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,1981,2,,,146 m²,,3,1,2,Non,186 m²,,,Non communiqué,Non communiqué,20210819-0002453819-RES-1,Non communiqué,Non communiqué,,,,,,,,,349.000 €,Non,,,Excellent état,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,1 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Maison bel-étage,1.100 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1974,2,2,2,162 m²,,3,1,2,Non,204 m²,,Nord-est,198 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,Non,"Markt 33
2940 - Hoevenen",8366 - 18370,Fraîchement rénové,,,,,,,,,,,,,114 m²,,,,,,,,,,,,,,,,,,1.100 €,6 m,29 m²,6 m²,16 m²,16 m²,6 m²,6 m,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1972,4,1,3,212 m²,,3,1,2,Non,613 m²,Oui,Sud-est,519 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,,498.000 €,Non,"Markt 33
2940 - Hoevenen",8358 - 18378,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.529 €,14 m,,21 m²,15 m²,14 m²,5 m²,17.1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1973,2,1,2,170 m²,Équipée,3,1,2,Non,350 m²,Oui,Sud-ouest,399 kWh/m²,D,20210516-0002415,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,Non,"Kloosterstraat 89-93
2180 - Ekeren",31721 - EKE-21-ADH-0,Bon,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,13 m,,12 m²,19 m²,18 m²,14 m²,13 m,Gaz,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1976,,1,,32 m²,6 m²,16 m²,1,Oui,,Non,,216 kWh/m²,C,20210406-0002397752-RES-1,Non communiqué,Non communiqué,Gaz,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,1.100 €,"Dorpsstraat 11
2940 - Stabroek",2021-070C,,Excellent état,,,1,Non,199 m²,,,Non,Non,Non,Non connecté,199 m²,Nord-ouest,,,,,,,,,,,,,,,,44 m²,,Non,,Équipée,3,14 m²,6 m²,Non,,Oui,,131 m²,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1984,3,4,,Oui,4 m²,14 m²,2,Non,269 m²,9 m,,1 m²,B,2469221,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314337 - 1314207,,Excellent état,,Hyper équipée,,,,,,,,,,116 m²,Nord-ouest,,,,,,,,,,,,,,,,Oui,,,,,3,13 m²,9 m²,1,Oui,Oui,,179 m²,,,,161 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1976,2,1,,Équipée,3,1,1,Non,205 m²,6.5 m,,,A,20210816-0002451989-RES-1,Non communiqué,Non communiqué,Non,Gaz,,,,,,,,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314296 - 1314196,,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.000 €,,,,,,,,,80 m²,Oui,,150 m²,,,,73 kWh/m²,2,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1948,2,,2,160 m²,,3,1,,,210 m²,,,291 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,Non,"Dorpsstraat 84
2940 - Stabroek",4531196,Bon,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,32 m²,8 m²,16 m²,14 m²,7 m²,6.1 m,Gaz,,,,72 m²,,,,Isolé,Oui,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,1954,2,,,157 m²,,2,1,,,344 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",319.000 €,Non,"Dorpsstraat 84
2940 - Stabroek",4514032,Excellent état,,,,,,,,,,,,Oui,,,,,,,,Oui,,,,,,,,,Oui,,,,30 m²,12 m²,20 m²,16 m²,,,,,,Connecté,,,,,Urbain,,Oui,,,,,,,,,,,,,,,,,,,,,,
10,,1948,2,,2,160 m²,,3,1,,,210 m²,,,291 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,Non,"Dorpsstraat 84
2940 - Stabroek",4509356,Bon,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,32 m²,8 m²,16 m²,14 m²,7 m²,6.1 m,Gaz,,,,72 m²,,,,Isolé,Oui,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,,2,,,149 m²,,3,2,2,,467 m²,,,558 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,Non,"Dorpsstraat 84
2940 - Stabroek",4456860,Excellent état,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,5.5 m,45 m²,15 m²,14 m²,14 m²,,5.5 m,,Oui,,Connecté,,,,,Urbain,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
12,À définir,,2,,,,,3,1,1,Non,175 m²,,,486 kWh/m²,E,20210615-0002429464-RES-1,Non communiqué,Non communiqué,,,Oui,,,,,,335.000 €,Non,,,Bon,,,Oui,,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,,,17 m,,,18 m²,14 m²,17 m²,,Gaz,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,2,,,211 m²,,3,1,2,Non,544 m²,,,483 kWh/m²,E,20210506-0002412251-RES-1,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,,329.000 €,Non,,,Bon,,,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,1 m²,,,,,,,,,,,,Non,Non,Non,Non,Non,Toutes sortes,,10 m,,,19 m²,15 m²,11 m²,,,,,,,,1 m²,,,,,"Oui, pas conforme",,,,,,,,,,,,,,,,,,,,,
14,,,2,1,2,125 m²,Équipée,3,2,3,Non,180 m²,,Nord,386 kWh/m²,D,0002470565,Non communiqué,Non communiqué,Non,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,Non,"Britselei 42
2000 - Antwerpen",10228 - 3596289,Bon,,,,,,,,,,,,,80 m²,,,,,,,,,,,,,,,,Oui,,1.100 €,,34 m²,,,,,,Gaz,,,,,,30 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,,2,,,129 m²,Semi-équipée,2,1,2,Non,279 m²,Oui,Sud,467 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",229.000 €,Non,"Paalstraat 70
2900 - Schoten",20359 - 966,À rénover,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,6 m,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Après la signature de l’acte,1980,2,1,,140 m²,Équipée,3,1,2,Non,216 m²,,Sud-ouest,306 kWh/m²,D,20210915-0002464340,Non communiqué,Non communiqué,Non,,Oui,Oui,Non,,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",1314341 - 1314209,Bon,,,,,,,,,,,,Oui,122 m²,,,,Oui,,,,,,,,,,,,,,,6 m,43 m²,,,,,6 m,Gaz,,,,,,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,,2,1,,142 m²,Hyper équipée,4,1,2,Non,220 m²,,Sud,124 kWh/m²,B,20210902-0002459472-RES-1,Non communiqué,Non communiqué,Non,,,,,,,,379.000 €,Non,"Britselei 42
2000 - Antwerpen",10163 - 3596253,Fraîchement rénové,,,,,,,,,,,,Oui,90 m²,,,,,,,,,,,,,,,,Oui,,,,44 m²,,,,,,Gaz,,,,,,25 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,,2,1,,142 m²,Hyper équipée,4,1,2,Non,220 m²,,Sud,124 kWh/m²,B,20210902-0002459472-RES-1,Non communiqué,Non communiqué,Non,,,,,,,,379.000 €,Non,"Britselei 42
2000 - Antwerpen",10159 - 3596253,Fraîchement rénové,,,,,,,,,,,,Oui,90 m²,,,,,,,,,,,,,,,,Oui,,,,44 m²,,,,,,Gaz,,,,,,25 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,
19,Après la signature de l’acte,2021,3,1,,235 m²,Hyper équipée,5,2,3,Non,325 m²,,Est,48 kWh/m²,A,11044-G-OMV_202008704/EP18659/SV/A001/D01,Non communiqué,Non communiqué,Non,,,,,,,,449.000 €,Non,"Britselei 42
2000 - Antwerpen",10101 - 3596216,,,,,,,,,,,,,,210 m²,,,,,,,,,,,,,,,,Oui,,,,58 m²,,,,,6.4 m,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Après la signature de l’acte,,2,,,137 m²,Équipée,3,1,1,Non,,,Sud-est,189 kWh/m²,B,20210928-0002469607-RES-1,Non communiqué,Non communiqué,Non,,,,,,,,299.000 €,Non,"Britselei 42
2000 - Antwerpen",10223 - 3596285,Bon,,,,,,,,,,,,,70 m²,,,,,,,,,,,,,,,,Oui,,,,,,,,,210 m,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Après la signature de l’acte,1978,2,1,2,165 m²,Semi-équipée,3,1,2,Non,190 m²,,Sud-ouest,173 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,,,À rafraîchir,,,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,1 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Maison bel-étage,1.100 €,6 m,40 m²,6 m²,16 m²,14 m²,10 m²,,Gaz,,,Connecté,,,1 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,
22,Après la signature de l’acte,1978,2,1,,162 m²,Hyper équipée,3,1,2,Non,231 m²,,Sud-est,182 kWh/m²,B,2434724,Non communiqué,Non communiqué,Non,,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314269 - 1314193,Bon,,,,,,,,,,,,Oui,129 m²,,,,Oui,,,,,,,,,,,,Oui,,1.100 €,6 m,35 m²,,,,,,Gaz,,,,,,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
23,À définir,,,1,,197 m²,Hyper équipée,4,,3,Non,260 m²,Oui,Nord-est,888 kWh/m²,F,20160324-0001847614-1,Non communiqué,Non communiqué,,,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,Non,"Pastoor Vandenhoudtstraat 27
2950 - Kapellen",,Excellent état,,,Non,,,,,,,,,Oui,,,,,,,,,,,,,Non,Oui,Oui,,Oui,,,,,,,,,,Gaz,,,Connecté,,,36 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
24,Après la signature de l’acte,,3,1,,150 m²,Équipée,3,1,2,Non,160 m²,,,486 kWh/m²,E,20210615-0002429464-RES-1,Non communiqué,Non communiqué,Non,,,,,,,,335.000 €,Non,"Britselei 42
2000 - Antwerpen",10151 - 3596248,Bon,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,28 m²,,,,,,Gaz,,,,,,30 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,
25,,,3,1,3,200 m²,Équipée,2,1,2,Non,770 m²,,Ouest,233 kWh/m²,C,0002452835,Non communiqué,Non communiqué,Non,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,Non,"Britselei 42
2000 - Antwerpen",10137 - 3596239,Bon,,,,,,,,,,,,,400 m²,,,,,,,,,,,,,,,,Oui,,,,36 m²,,,,,18 m,Gaz,,,,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Après la signature de l’acte,1978,3,2,2,140 m²,Équipée,3,1,2,Non,297 m²,,,233 kWh/m²,C,20210930- 0002468905,Non communiqué,Non communiqué,,,,,,,Zone inondable potentielle,,349.000 €,Non,"Bredabaan 505
2930 - Brasschaat",4526869,Bon,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,6 m,41 m²,7 m²,18 m²,12 m²,8 m²,9 m,Gaz,,,,,,,1,Urbain,,Oui,,,11 m²,,,,,,,,,,,,,,,,,,,
27,,2014,3,1,,216 m²,Hyper équipée,3,1,2,Non,330 m²,,,109.92 kWh/m²,B,11044-G-2013/00076/EP13796/A001/D01/SD001/,Non communiqué,Non communiqué,,,Oui,Oui,Non,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,Non,"Eikenlei 2
2960 - Brecht / St-Job-in-'t-Goor",4495807,Excellent état,,,,,,,,,,,,Oui,,,,,Oui,,,,,,,,,,,,Oui,,1.476 €,6 m,54 m²,,17 m²,14 m²,12 m²,1200 m,Gaz,,,Connecté,72 m²,,20 m²,,Urbain,,,,,,1 avril 2022 - 00:00,,,,,,,,,,,,,,,,,,
28,,2002,,1,,152 m²,Hyper équipée,3,1,1,,422 m²,,Nord-ouest,117 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,Non,"Turnhoutsebaan 175
2110 - Wijnegem",,Excellent état,,,Non,,Non,,,Non,Non,Non,Non,Oui,54 m²,,,,,,,,,,,,,,,,Oui,,1.001 €,6 m,,9 m²,14 m²,13 m²,5 m²,,Gaz,,,Connecté,54 m²,Non,23 m²,,,,,,,,,47 m²,VKW0901,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,2002,3,1,2,Oui,3,20 m²,3,Oui,12 m,,,123 kWh/m²,B,2465758,Non communiqué,Non communiqué,Non,Gaz,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,1.484 €,"Theo Verellenlaan 19
2990 - Wuustwezel",1314340 - 1314209,,Excellent état,,Hyper équipée,,,,,,,,,,97 m²,Nord-est,,,,,,,,,,,,,,,,Zone non inondable,,Non,,,,20 m²,10 m²,8 m²,Oui,Oui,Non,234 m²,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
30,À définir,1972,2,,,276 m²,Équipée,3,1,2,,194 m²,,,254 kWh/m²,C,20111218-0000957688-00000007-5,Non communiqué,Non communiqué,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,,"Manebruggestraat 211
2100 - Deurne",,Bon,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,1.529 €,,41 m²,,,,,,Gaz,,,,,,24 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,
31,Après la signature de l’acte,1948,2,,1,,,2,1,2,Non,315 m²,,Nord-ouest,200 kWh/m²,B,20210908-0002461681-RES-2,Non communiqué,Non communiqué,,200,,,Non,Non,Zone non inondable,,275.000 €,Non,,,Fraîchement rénové,,,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,150 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Toutes sortes,,,,,12 m²,14 m²,,,Gaz,,,Connecté,,,20 m²,,,,,,,,,35 m²,,,Oui,,,,,,,,,,,,,,
32,À définir,1948,3,,,102 m²,,2,1,,Non,525 m²,,Sud-ouest,333 kWh/m²,D,20210727-0002445419-RES-1,Non communiqué,Non communiqué,,,,,,,,,279.000 €,Non,,,À rafraîchir,,,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,380 m²,,,,,,,,,,,,Non,Non,Non,Non,Oui,Toutes sortes,574 €,,,,,,,6 m,Gaz,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,4 m²,,,,,,,,,,,,,
33,Après la signature de l’acte,,2,,,135 m²,Semi-équipée,2,1,1,Non,245 m²,,Sud,237 kWh/m²,C,20210522-00024118941-RES-1,Non communiqué,Non communiqué,Non,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,Non,"Britselei 42
2000 - Antwerpen",10248 - 3596138,À rafraîchir,,,,,,,,,,,,Oui,130 m²,,,,,,,,,,,,,,,,Oui,,,,36 m²,,,,,,Gaz,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,
34,,2020,2,1,,219 m²,Équipée,3,1,3,Non,210 m²,,Sud-est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Paalstraat 70
2900 - Schoten",19020 - 397,,,,,,,,,,,,,,137 m²,,,,,,,,,,,,,,,,Oui,,,,,11 m²,20 m²,16 m²,11 m²,,Gaz,,,,,,24 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
35,À la livraison,2022,3,1,3,273 m²,Américaine équipée,3,1,2,,492 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,30,Oui,Oui,,Non,,,500.000 €,Non,"Amsterdamstraat 27
2000 - Antwerpen",,Excellent état,,Oui,,,,,,,,,,Oui,250 m²,,,,,,,,,,,,,,Oui,,Oui,,,7 m,46 m²,14 m²,28 m²,17 m²,17 m²,10 m,Gaz,,,Connecté,119 m²,,21 m²,1,,Oui,,,,,1 mars 2022 - 00:00,,4405788,,,,,,,,,,,,,,,,
36,Après la signature de l’acte,2021,2,1,,215 m²,Équipée,3,1,2,Non,217 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,Non,"Zegeplein 3
2930 - Brasschaat",,,,,,,,,,,,,,Oui,87 m²,,,,,,,,,,,,,,,,Oui,,,,61 m²,,13 m²,13 m²,8 m²,6.75 m,Gaz,,,,,,15 m²,,,,,,,,,,3313 - 1786,,,,,,,,,,,,,,,,
37,À la livraison,,,,,,,,,,,,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,,,,Oui,"Kloosterstraat 89-93
2180 - Ekeren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,À définir,1966,4,2,2,219 m²,Équipée,4,1,2,Non,1775 m²,,Sud-est,518 kWh/m²,F,Certificaat-20210823-0002454729-RES-1.pdf,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",605.000 €,Non,"Bredabaan 260
2930 - Brasschaat",35935 - EKE-21-JDH-0,Bon,,,,,,,,,,,,Oui,1250 m²,,,,,,,,,,Oui,,,,,,,,1.896 €,22 m,42 m²,27 m²,23 m²,15 m²,14 m²,22 m,Gaz,,,,,,,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,12 m²,,25 m²,,,,,,,,,,,,,
39,À définir,2007,3,,,196 m²,,3,1,2,Non,265 m²,,Sud-est,170 kWh/m²,B,20141208-0001713533-1,Non communiqué,Non communiqué,,,,,,Non,,,399.000 €,Non,,,Excellent état,,Oui,Non,,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,188 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Toutes sortes,,6 m,24 m²,16 m²,30 m²,15 m²,9 m²,6 m,Gaz,,,Connecté,,,1 m²,1,Aménagé,,,,Sud,9 m²,,12 m²,,,Oui,,27 m²,,,,,,,,,,,,
40,,,4,,,166 m²,,3,1,1,Non,2740 m²,,,277 kWh/m²,C,202110042472103,Non communiqué,Non communiqué,,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",595.000 €,Non,"Hoevensebaan 25
2950 - Kapellen",D2950-21030,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.225 €,,,,,,,,Gaz,,,,,,42 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,
41,,2010,4,,,180 m²,,3,,,Non,507 m²,,,135 kWh/m²,B,2466111,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,Non,"Hoevensebaan 25
2950 - Kapellen",D2950-21029,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.281 €,,,,,,,,,,,,,,30 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,
42,À définir,1954,4,1,4,195 m²,Équipée,3,1,2,Non,616 m²,,Est,450 kWh/m²,E,20210705-0002437812-RES-1,Non communiqué,Non communiqué,,,Oui,,,,Zone non inondable,,525.000 €,Non,,,Bon,,Oui,Non,,Non,Non,Non,Oui,Non,Oui,Oui,Oui,336 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,,992 €,8 m,20 m²,16 m²,13 m²,12 m²,11 m²,14 m,Gaz,,,Connecté,,,35 m²,,Aménagé,,,,Est,,,15 m²,,,,9 m²,12 m²,1,,,,,,,,,,,
43,À définir,2015,4,4,,1130 m²,Hyper équipée,5,5,6,Non,9312 m²,,,61 kWh/m²,A,UC2020617-1,Non communiqué,Non communiqué,,,,Non,Non,,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),5.850.000 €,Non,"Frankrijklei 93
2000 - Antwerpen",3323825,Excellent état,,Oui,,,Oui,,,,,,,,9000 m²,,Non,Non,,Oui,,Oui,,,Oui,,,,,,Oui,,,36 m,50 m²,21 m²,35 m²,17 m²,13 m²,,,Oui,,,,,,4,,,Oui,,,,,,,17 m²,,,,,13 m²,,,,,,,,,,
44,À définir,2000,4,9,9,1600 m²,Américaine hyper-équipée,9,10,13,Non,6335 m²,,,119 kWh/m²,B,2370475,Non communiqué,Non communiqué,,,Oui,,,,Zone non inondable,,5.100.000 €,Non,"Frankrijklei 93
2000 - Antwerpen",4244847,Excellent état,,Oui,,,Oui,,,,,,,,,,Non,Non,Oui,Oui,,Oui,,,Oui,,,,,,Oui,,7.817 €,50 m,50 m²,42 m²,40 m²,19 m²,25 m²,,Gaz,Oui,,,,,,10,,Oui,Oui,,,90 m²,,,,35 m²,,,100 m²,,44 m²,,,,,,,,,,
45,À définir,,,1,,43 m²,11 m²,25 m²,,Non,489 m²,Connecté,,38 m²,A,11023-G-2015_31119/EP14176/SV/A001/D01,Non communiqué,Non communiqué,20,,Non,Non,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",548.000 €,Non,"Leopoldstraat 37
2800 - Mechelen",,,Bon,,,2,,,,,,,,,371 m²,Sud-ouest,,,,,,,,,,,,Oui,,,,,,,,Équipée,4,12 m²,12 m²,13 m²,,,,220 m²,Oui,,,Sud-ouest,,,,,,40.19 kWh/m²,,,,,Non,,,,,,,,,,,,,,,
46,Après la signature de l’acte,,3,,3,,Hyper équipée,2,1,3,Non,305 m²,,Sud-ouest,146 kWh/m²,B,475934,Non communiqué,Non communiqué,,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,Non,,,Excellent état,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,150 m²,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,,297 €,,,,20 m²,12 m²,,,Gaz,,,Connecté,,,30 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,Sud-ouest,,,,,,Oui,,,,,,,,,,,,,,
