,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Salon,Type de cuisine,Surface de la cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Visite virtuelle,Surface du salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Meublé,Surface du jardin,Orientation du jardin,Terrasse,Pompe à chaleur,Surface de la terrasse,Attestation as-built,Autorisation de lotissement,Site internet,Largeur de la façade à rue,Surface de la chambre 4,Niveau E (performance énergétique globale),Grenier,Jardin,Orientation de la terrasse,Quartier ou lieu-dit,Parkings extérieurs,Type d’environnement,Salle à manger,Surface de la chambre 5,Panneaux solaires,Buanderie,Bureau,Surface de la cave,Surface du grenier,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Attestation de conformité des citernes à mazout,Obligation de construire,Combien de feux ouverts ?,Surface de bureau,Surface de l'espace professionnel,Espace professionnel,Nombre d'annexes,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Surface constructible totale au sol,Disponible le,Nom du bien,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Type de construction,Pourcentage loué,Isolé
82,À définir,2021,Excellent état,2,236 m²,,,9 m²,6,2,1,3,,141 m²,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",539.751 €,,Non,"Keizershoek 350A
2550 - Kontich",,1,,37 m²,12 m²,9 m²,9 m²,,Non,,,,,12 m²,"Oui, conforme",Oui,Lieve Crols,,12 m²,,,,,Bottelarij,,"Zone d'habitat (résidentiel, urbain ou rural)",,12 m²,,Oui,,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,130 m²,,,,,,,,,45 m²,,Non connecté,Non,309 kWh/m²,D,20180314-0002041147-1,Non communiqué,Non communiqué,,Non,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",378.000 €,642 €,Non,"Onze-Lieve-Vrouwstraat 98
3020 - Herent",TK5021,,,,,,,,Non,,,,,,,Non,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,45 m²,,,,,,,,,
84,Selon le locataire,,,2,144 m²,,,,3,,,,,93 m²,,Connecté,,496 kWh/m²,E,2418372,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",550.000 €,1.700 €,Oui,"Naamsesteenweg 207
3001 - Heverlee",,,,,,,,,,,,Oui,,,,Non,4381486,,,,,,,Leuven en omgeving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Après la signature de l’acte,2020,,2,,,,,4,1,,2,,162 m²,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",469.500 €,,,"Dorp 64/b
3221 - Nieuwrode",,,,,,,,,Non,,,,,,,Non,,,,40,,,,Ring rond Leuven,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walque in the Park,,,,,,,
86,,,,2,193 m²,Oui,,,7,,,,Oui,95 m²,5.68 m,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,2.310 €,Oui,"Diestsesteenweg 427 C
3010 - Kessel-Lo",,,,,,,,,Non,,Ouest,,,,,Non,,5.68 m,,,,Oui,,,,,,,,,Non,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
87,,,,2,,,,,10,10,10,10,,,,Connecté,Non,265 kWh/m²,C,20120613-0001142776-00000001-2,Non communiqué,Non communiqué,,,,,,,,1.930.000 €,,Oui,"Brusselsestraat 41
3000 - Leuven",,,,,,,,,Oui,350 m²,,,,,,,4527841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,Bon,2,150 m²,Oui,Équipée,,3,1,,1,,105 m²,,,,324 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,490 €,Non,"Tervuursesteenweg 353
3001 - Heverlee",,,,,,,,Non,Non,,Est,,Non,,,Non,spir3074,,,,,Oui,,,,,,,,,Non,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,1 novembre 2021 - 00:00,,,,,,,,
89,,,,2,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,13.500.000 €,,Oui,"Place du champ de Mars 5
1050 - Bruxelles",4223809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,2004,,4,350 m²,,Hyper équipée,,3,2,,3,Oui,1065 m²,22.49 m,,,179 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.365.000 €,2.594 €,Oui,"Vismarkt 10 c
3000 - Leuven",,3,,69 m²,,,,,Non,,Sud-est,Oui,,,Non,,2721 - 2991900,,,179,,Oui,,,4,,,,,,Oui,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,2004,,4,350 m²,,Hyper équipée,,3,2,,3,Oui,1065 m²,22.49 m,,,179 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.365.000 €,2.594 €,Non,"Vismarkt 10 c
3000 - Leuven",,3,,69 m²,,,,,Non,,Sud-est,Oui,,,Non,,2720 - 2991900,,,179,,Oui,,,4,,,,,,Oui,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
92,Après la signature de l’acte,1948,Bon,3,92 m²,,,14 m²,2,1,,,,589 m²,,Connecté,Oui,352 kWh/m²,D,20210511-0002413860-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,Zone agricole,365.000 €,468 €,Non,"Tervuursevest 356
3000 - Leuven",,,,13 m²,,,,,Non,330 m²,,,Non,,,Non,,,,352,,,,,,,,,Non,,,15 m²,,,,,,,,,"Oui, conforme",,,,,,,Non,,,,,,,,,Non,Non,,,,,,,,,,
93,Après la signature de l’acte,2002,Excellent état,4,317 m²,,Hyper équipée,16 m²,4,3,1,,,1200 m²,23 m,Connecté,Oui,252 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.350.000 €,3.661 €,,"Bergenstraat 72
3053 - Haasrode",,3,,56 m²,35 m²,25 m²,18 m²,,,1200 m²,Sud-ouest,,,40 m²,,,,,16 m²,,,,,,4,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,Oui,80 m²,,,,Oui,Oui,Oui,,,,,1,10 m²,,Oui,,,,,,Oui,Oui,,,,,,,,,,,,,,,
94,,,À rénover,,330 m²,,,21 m²,5,2,,2,Oui,440 m²,9.7 m,Connecté,Oui,561 kWh/m²,F,2400972,Non communiqué,Non communiqué,Gaz,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",450.000 €,1.294 €,Non,"Brusselsestraat 140
3000 - Leuven",,1,,55 m²,21 m²,19 m²,18 m²,Non,,250 m²,Nord-est,,,16 m²,,,K_Waversebaan 50_Hev,9.7 m,12 m²,,,,Nord-ouest,,,Urbain,Oui,32 m²,,Oui,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
95,Après la signature de l’acte,1930,À rénover,4,225 m²,,,15 m²,2,1,,,,365 m²,25 m,Connecté,Oui,451 kWh/m²,E,20210828-0002457225-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,763 €,Non,"Tervuursevest 356
3000 - Leuven",,,,,,,,,Non,,,,Non,,,Non,,16 m,,451,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,Non,Non,,,,,,,,,,
96,Selon le locataire,1976,Bon,4,285 m²,,Équipée,15 m²,4,1,,,,1092 m²,24 m,,,308 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",795.000 €,3.031 €,Non,"Jan Stasstraat 3
3000 - Leuven",,2,,50 m²,16 m²,16 m²,12 m²,Non,Non,,Est,,Non,12 m²,,Oui,Naamsesteenweg 471A,17 m,8 m²,,,Oui,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Oui,16 m²,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,1,25 m²,50 m²,,,,,,,,,,,,,,,,,,,,,,,
97,,,Fraîchement rénové,,300 m²,,Équipée,23 m²,6,2,,2,Oui,300 m²,,Connecté,Oui,257 kWh/m²,C,2455663,Non communiqué,Non communiqué,,Oui,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",570.000 €,1.737 €,Non,"Brusselsestraat 140
3000 - Leuven",,1,,60 m²,18 m²,14 m²,12 m²,Non,,,,,,30 m²,,,K_Tervuursesteenweg,,10 m²,,,,,,,Urbain,Oui,,,,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
98,Après la signature de l’acte,,Excellent état,4,466 m²,,Équipée,30 m²,5,3,,,,2458 m²,,,,178 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.320.000 €,3.489 €,Non,"Jan Stasstraat 3
3000 - Leuven",,3,,55 m²,20 m²,15 m²,12 m²,Non,Non,,Sud-ouest,,Non,75 m²,,Oui,Waversebaan 321 - TK,,25 m²,,,Oui,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,20 m²,,,Oui,18 m²,,,,,,,,,Non,Non,1,15 m²,20 m²,,,,,,,,,,,,,,,,,,,,,,,
99,,1918,À rafraîchir,,103 m²,Oui,,,2,1,,1,Oui,100 m²,,Connecté,Non,513 kWh/m²,F,20210824-0002455081-RES-1,Non communiqué,Non communiqué,,Non,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",248.000 €,,Non,"Naamsesteenweg 171/0001
3001 - Heverlee",,,,,,,,Non,Non,,Nord,,,,,Non,LEEUWERIKENSTR7,,,,,Oui,,,,,,,,,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
100,À rénover,,3,1,,2,1,,2,Oui,,265 m²,,6.7 m,Oui,Est,,2455091,Non communiqué,Non communiqué,"Oui, conforme",Mazout,Non,,Non,125.000 €,,924 €,,,"Half Daghmael, 8/1
3020 - HERENT",Dave VANDERWAEREN,,,Oui,Équipée,,,,,,,,F,,Oui,,,Zone non inondable,,,,,Oui,552 kWh/m²,,,,,,,Non,,,,,,,,,,,,Non,,,,,,,,,,,Connecté,,,,,,,,,,Non,"nl :
op zaterdagvoormiddag, enkel op afspraak via notariskantoor (dave.vanderwaeren@notarissenherent.be en niels.buseyne@notarissenherent.be) © mondmasker verplicht © max. 4 pers. © max. 30 min/bezoek",Après la signature de l’acte,Non,,,
101,,1930,Excellent état,,315 m²,,,,11,5,,,,154 m²,,Connecté,Oui,222 kWh/m²,C,202102240002369184RES1,Non communiqué,Non communiqué,,Non,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.085.000 €,,Oui,"Naamsesteenweg 171/0001
3001 - Heverlee",,,,,,,,Non,Non,,Sud-est,,,,,Non,NAAMSE_87,,,,,Oui,,,,,,,,,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
102,1959,2,,,,,,,347 kWh/m²,,,,,D,,,,20210714-0002441780-RES-1,Non communiqué,Non communiqué,Non,Non,,,,225.000 €,,946 €,,,"Bollenberg 39
3210 - Lubbeek",Philip ERALY,,,,323 m²,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Zaterdag 14u-16u (zaterdag 28/8 tot en met zaterdag 25/9)",Après la signature de l’acte,Non,,,
103,À rénover,,2,Urbain,,,,18 m²,12 m²,,,,,,,,,20210501-00002409545-RES-1,Non communiqué,Non communiqué,Non,Non,,Non,Non,200.000 €,,500 €,,,"Koning Leopold I - straat, 5
3000 - Leuven",Emiel VERELST,,,,Oui,16 m²,18 m²,12 m²,641 kWh/m²,,,,,,,,,Zone non inondable,,,F,,,,,,,18 m²,4,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Het goed zal door de kandidaat-kopers kunnen bezocht worden minstens elke woensdag van 14u tot 17u en dit vanaf woensdag 02 juni NA telefonische afspraak met het Notarishuis te Leuven op het telefoonnummer 016/22.19.45.",Après la signature de l’acte,Non,,,
104,,,,,130 m²,,,15 m²,2,1,,,,,,Connecté,Oui,Non communiqué,Non communiqué,24062-G-OMV_2018010383/EP13430/A001/D01/SD001,Non communiqué,Non communiqué,,Non,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,,Non,"Naamsesteenweg 171/0001
3001 - Heverlee",,,,24 m²,25 m²,15 m²,,Non,Non,,Nord-ouest,,,,,Non,RESAMARYLLIS_WC,,,,,Oui,,,,,Oui,,,,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
105,1963,4,,,,,,,D,,,,,,,,,20210621-0002431410-RES-1,Non communiqué,Non communiqué,Oui,Non,,,Non,335.000 €,,1.246 €,,,"Leopold Ruelensstraat, 54
3010 - Kessel-Lo",Veronique KNAPEN,,,,383 kWh/m²,,,,,,,,,,,,,Zone inondable potentielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zaterdag van 10 uur tot 12 uur, vanaf zaterdag 2 oktober 2021 tot en met zaterdag 6 november 2021",Après la signature de l’acte,Non,,,
106,À rénover,,2,105 m²,Oui,2,,,1,Oui,,,,539 kWh/m²,,,,F,20210127-0002365067-RES-1,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,,145.000 €,,,Non,"Klein Overlaar 22
3320 - Hoegaarden",Els BERGHMANS,,,,,,,,,,,,,,,,,,,,,237 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
zaterdag 23/10 en zaterdag 6/11 van 10u-12u en zaterdag 30/10 en zaterdag 13/11 van 14u-16u.",Après la signature de l’acte,505 €,,,
107,3,,,,,,,,424 kWh/m²,E,,,,,,,,20210216-0002373970-RES-1,Non communiqué,Non communiqué,Non,Non,,,,405.000 €,,956 €,,,"Leon Schreursvest, 5
3001 - HEVERLEE",Lara SCHUPP,,,,1,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
di. tussen 17u-19u en zat. tussen 14u-16u (vanaf di. 7 september 2021 tem zat. 2 oktober 2021)",Après la signature de l’acte,Non,,,
108,Après la signature de l’acte,2004,Bon,2,117 m²,,Équipée,,3,1,,1,,220 m²,4 m,,,227 kWh/m²,C,20140706-0001623647-01-0,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",398.000 €,1.015 €,Non,"Leuvensesteenweg 417
3070 - Kortenberg",,,,41 m²,14 m²,14 m²,8 m²,,Non,150 m²,Sud-ouest,,,14 m²,"Oui, conforme",Oui,4109 - 7135408,4 m,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 septembre 2021 - 00:00,,,,,,,,
109,À définir,,Excellent état,2,162 m²,,Équipée,9 m²,4,1,,2,,125 m²,7 m,Connecté,Oui,219 kWh/m²,C,202109230002460883-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Oui,Non,Zone non inondable,,435.000 €,349 €,Non,,,,,,24 m²,14 m²,18 m²,Non,Non,50 m²,Nord-est,,Non,,"Oui, conforme",Oui,,7 m,11 m²,,,,,,,,,,Non,Oui,Non,9 m²,,,,,,,,,"Oui, conforme",Non,,,,Non,,Non,Oui,Non,Non,Non,,,,,Non,Non,,,,,,,,,,
110,Après la signature de l’acte,1978,Bon,4,429 m²,,Hyper équipée,,5,1,1,,Oui,1369 m²,,,,167 kWh/m²,B,2433293-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Oui,,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",799.000 €,2.307 €,Non,"Leuvensesteenweg 417
3070 - Kortenberg",,2,,,,,,,Non,,Sud,,,45 m²,Non,Non,4167 - VK 633 WS/MVT,,,,,Oui,,,4,,,,,,Oui,,,,,,,,,,,,1,56 m²,,,,,,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,1958,Bon,2,129 m²,Oui,Équipée,,3,1,,1,Oui,245 m²,,Connecté,Oui,383 kWh/m²,D,20140909-0001657176-00000006-7,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Zone non inondable,,345.000 €,349 €,Non,,,,,,21 m²,16 m²,12 m²,Non,Non,140 m²,Est,,Non,16 m²,,,,,,,,,Est,,,,,,Non,,Non,,,Non,Non,Non,Non,Non,Non,Non,,Non,,,,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,,,
112,À définir,,Bon,,300 m²,,Équipée,23 m²,6,,,2,Oui,300 m²,,Connecté,Oui,257 kWh/m²,C,2455663,Non communiqué,Non communiqué,Gaz,Oui,,,,,,570.000 €,,Non,"Eektstraat 1
3111 - Wezemaal",,,,60 m²,18 m²,14 m²,14 m²,Non,Non,,Sud-est,,Non,30 m²,,,,,12 m²,,Oui,Oui,Sud-est,,,,,10 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,
113,Immédiatement,1930,Bon,2,179 m²,,Semi-équipée,,2,1,,3,,60 m²,4 m,Connecté,Oui,184 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,,290.000 €,999 €,,,,,,,24 m²,16 m²,,,,,,Oui,,,,Oui,,4 m,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,
114,Après la signature de l’acte,1984,À rénover,4,145 m²,,,,3,1,,,,1221 m²,,,,543 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,Oui,,Non,,,420.000 €,,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",,,,,,,,,,,,Oui,,,,,4514946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,À définir,1989,Bon,3,,,Équipée,15 m²,4,1,,2,,400 m²,,Connecté,Oui,170 kWh/m²,B,20210801-0002447004-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,,Non,,,2,,16 m²,23 m²,14 m²,13 m²,Non,Non,140 m²,Nord-ouest,,Non,30 m²,,Oui,,10 m,,,Oui,,Nord-ouest,,2,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,Oui,Oui,Non,,,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,,,,,,,,,,
116,Après la signature de l’acte,,Bon,2,110 m²,,,12 m²,2,1,,,,260 m²,,Connecté,Oui,215 kWh/m²,C,20210722-0002443133-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,731 €,Non,,,,,24 m²,15 m²,20 m²,,Non,Non,200 m²,Sud,,Non,24 m²,,Oui,,4 m,,,,,Sud,,,Urbain,,,Non,,Non,20 m²,,Non,Non,Non,Non,Non,Non,Non,,,,,12 m²,Non,,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,,,,,,,,,,
117,À définir,,Excellent état,2,,,Équipée,,3,1,,2,,135 m²,,Connecté,Oui,218 kWh/m²,C,20121111-0001247379-0000001-8,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,,,395.000 €,733 €,Non,,,,,,,,,Non,Non,1 m²,,,Non,1 m²,,,,,,,,,,,,,,,Non,,Non,,,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,Toutes sortes,,
118,Après la signature de l’acte,,Bon,2,140 m²,,,,3,1,,,,96 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,289.000 €,,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",,,,,,,,,Non,,,Oui,,,,,4499646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,12,12,,,,,,Non connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,,,2.013.000 €,,Oui,"Scheldestraat 9
2000 - Antwerpen",,,,,,,,Non,,,,,,,,,121395,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
120,,1933,À rénover,2,173 m²,Oui,,13 m²,3,1,,2,,117 m²,,,,468 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",375.000 €,1.024 €,Non,"Tiensesteenweg 93
3010 - Kessel-Lo",4411514,,,,16 m²,14 m²,23 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 janvier 1900 - 00:00,,,,,,,,
121,À définir,,Bon,,37 m²,,20 m²,4,26 m²,,,Oui,Oui,Connecté,,Oui,150 m²,D,20200423-0002264588-RES-1,Non communiqué,Non communiqué,Gaz,Non,Zone non inondable,,,,749.000 €,,1.477 €,Non,"Leopoldstraat 37
2800 - Mechelen",,,,260 m²,Équipée,18 m²,18 m²,17 m²,2,225 m²,Sud,28 m²,,Oui,Sud,,,,,Non,,Non,,329 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,,Excellent état,2,202 m²,,Américaine hyper-équipée,,5,,,2,Oui,140 m²,,Connecté,Oui,144 kWh/m²,B,20210904-0002445139-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",699.000 €,1.199 €,Non,"Herbert Hooverplein 14
3000 - Leuven",,,,,,,,,Non,,,Oui,,,,Non,4507706,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,1953,Fraîchement rénové,2,150 m²,Oui,Hyper équipée,,3,2,,2,Oui,276 m²,,Connecté,Oui,232 kWh/m²,C,20210816-0002450519-RES-2,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone non inondable,,485.000 €,684 €,Non,,,,,,,,,Oui,Non,,,,Non,,,,,,,,Oui,,,,,,Oui,,Non,,Non,,,,,,,,,,,,,,,Non,,Non,Non,Non,Non,Non,,,,,Non,Non,,,,,,,,Toutes sortes,,
124,À définir,1926,Bon,4,221 m²,,Hyper équipée,,3,2,,3,Oui,723 m²,,Connecté,Oui,361 kWh/m²,D,2426100,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",595.000 €,,Non,"Herbert Hooverplein 14
3000 - Leuven",,1,,,,,,,Non,,,Oui,,,,,4392997,,,,Oui,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Après la signature de l’acte,2010,Excellent état,3,41 m²,,14 m²,4,14 m²,2,,13 m²,,12.5 m,729 m²,,,B,Non communiqué,Non communiqué,Non communiqué,Non,Non,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",599.000 €,1.914 €,Non,"Louis Melsensstraat 8
3000 - Leuven",spir5916,,2,210 m²,Hyper équipée,14 m²,17 m²,19 m²,2,839 m²,Non,,,Oui,,Non,Non,,,Non,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,Non,Non,Non,Non,Oui,Non,142 kWh/m²,Gaz,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,1948,Excellent état,4,220 m²,Oui,Hyper équipée,,4,2,2,2,,830 m²,,,,351 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",995.000 €,2.324 €,Non,"Tervuursesteenweg 353
3001 - Heverlee",,,,,,,,Non,Non,,Ouest,,Non,,,Non,spir3016,,,,,Oui,,,5,,,,,,Non,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,1932,À rénover,,177 m²,Oui,,,3,1,,2,Oui,200 m²,,Connecté,Oui,287 kWh/m²,C,20211003-0002470815-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,1.036 €,Non,"Tiensesteenweg 350
3000 - Leuven",,,,,,,,Non,,,Sud,Oui,,,,Non,Vlietstraat 41 Hever,,,,,Oui,,,,,Oui,,,Oui,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,1952,Bon,4,350 m²,,Américaine hyper-équipée,15 m²,6,3,2,3,Oui,660 m²,,,,283 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",890.000 €,2.925 €,Non,"Dirk Boutslaan 4
3000 - Leuven",,,,63 m²,16 m²,17 m²,15 m²,,,,,Oui,,,,Oui,4456666,,24 m²,,,,,Regio Leuven,3,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,Oui,,,,,,,Oui,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,
