,Année de construction,État du bâtiment,Nombre de façades,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,À partir de,Disponible le,Quartier ou lieu-dit,Site internet,Salle à manger,Salles de douche,Cave,Attestation as-built,Type de chauffage,Largeur de la façade à rue,Type d’environnement,Salon,Type de cuisine,Surface de la chambre 4,Dressing,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Orientation de la terrasse,Concierge,Ascenseur,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Parkings intérieurs,Surface de la chambre 5,Buanderie,Surface de bureau,Surface de l'espace professionnel,Jardin,Terrasse,Charges mensuelles,Revenu mensuel actuel,Référence externe,Attestation de conformité des citernes à mazout,Surface de la cave,Description libre du PEB,Combien de feux ouverts ?,Isolé,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface constructible totale au sol,Surface du grenier,Nombre d'annexes,Nom de l'agent,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
64,1850,Fraîchement rénové,4,8,,350 m²,45 m²,16 m²,4,18 m²,18 m²,10 m²,2,3,,Non,11264 m²,90 m,Connecté,Oui,30 m²,,,,445 kWh/m²,F,20210506005731,111 kg CO₂/m²,Non communiqué,Oui,Zone non inondable,980.000 €,,,"Avenue Pasteur 6
1300 - Wavre",Après la signature de l’acte,,,Thomas Grosjean,Oui,1,,,Mazout,16 m,"Zone d'habitat (résidentiel, urbain ou rural)",,Semi-équipée,10 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,100,,Oui,,,,,,,,,25 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,144 m²,4,,,,,,
65,,Bon,3,,,214 m²,,,4,,,,1,2,Oui,Non,1040 m²,,Connecté,Non,,,,,Non communiqué,C,Non communiqué,Non communiqué,Non communiqué,Oui,,450.000 €,576 €,Non,,À définir,,,,Oui,1,Oui,,Mazout,,,Oui,,,Non,Oui,Oui,Non,Oui,Non,Oui,Non,500 m²,Sud,,,,,,,,,,Non,Oui,Non,Oui,,Toutes sortes,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
66,1998,Fraîchement rénové,4,2,,150 m²,17 m²,14 m²,3,14 m²,13 m²,13 m²,1,2,,Non,761 m²,,Connecté,Oui,20 m²,Non,Non,Non,Non communiqué,C,Non communiqué,Non communiqué,Non communiqué,Oui,,429.000 €,1.450 €,Non,,Après la signature de l’acte,,,,Oui,,,,Gaz,,,,Hyper équipée,,Non,Non,Non,Non,Non,Non,Non,Non,600 m²,Nord-est,Nord-est,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Villa,Non,Oui,,Non,,,Oui,,,,,,,,"Oui, conforme",,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,74 kWh/m²,A,Non communiqué,74 kg CO₂/m²,Non communiqué,,,,,Non,"Grand Place 2
1470 - Genappe",À la livraison,1 novembre 2021 - 00:00,,4322176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2016,Excellent état,4,4,,227 m²,,18 m²,3,15 m²,15 m²,15 m²,1,2,Oui,Non,898 m²,20.62 m,,Oui,42 m²,,,,123 kWh/m²,B,20160829501081,Non communiqué,27671 kWh/an,,,550.000 €,,,"Braine-le-Comte
7090 - Braine-le-Comte",Après la signature de l’acte,,,,Oui,1,,,,11 m,Pays,,Américaine équipée,,,,,,,,,,574 m²,Nord,Nord,,,,,,,,,Oui,,,,Oui,,,,,Non,1,,Oui,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Morgane Cappelle,,,,,
69,1975,Bon,4,2,,106 m²,30 m²,22 m²,3,12 m²,10 m²,8 m²,,1,,Non,599 m²,,,Oui,20 m²,Oui,,,326 kWh/m²,D,20210906001681,81 kg CO₂/m²,40195 kWh/an,Oui,,325.000 €,,Non,"Venelle de la réserve 2
1300 - Wavre",Après la signature de l’acte,,,5562 - 5190,,1,,Non,Mazout,8 m,,,Hyper équipée,,,Oui,,,,,,,400 m²,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,8 m²,,,,,,,,,,1,,,,,,,,,,,
70,2010,Excellent état,4,,,250 m²,29 m²,14 m²,4,20 m²,14 m²,14 m²,2,2,Oui,,1000 m²,,Connecté,Oui,,Non,Oui,Non,245 kWh/m²,C,20121115020409,Non communiqué,Non communiqué,Oui,,645.000 €,2.214 €,Non,"Chaussée de Collines 102
1300 - Wavre",À définir,,,,,2,,,Gaz,,,,Américaine équipée,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,4316131,,,,,,,250 m²,,,,58837,,,,
71,,Excellent état,,1,,,,,12,,,,,7,Oui,Non,2218 m²,,Connecté,Oui,,,Non,Oui,112 kWh/m²,B,20161103501571,Non communiqué,Non communiqué,Oui,Zone inondable potentielle,1.995.000 €,,Oui,"Ch. de Charleroi 95
1360 - Thorembais-St-Trond",À définir,,,,,,,,Gaz,,,,Hyper équipée,,Non,,,,,,,,,Sud-est,Sud-est,Non,Non,,,,,,,Non,Oui,Oui,,Oui,,,,,,,,,,,Oui,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
72,,À rénover,,,170 m²,40 m²,Oui,3,25 m²,18 m²,16 m²,1,1,Oui,,2930 m²,Oui,,,Oui,,,,,F,20210105006834,Non communiqué,Non communiqué,Non,,,Non,,"Venelle de la réserve 2
1300 - Wavre",4572 - 2762,,,,,Pas équipée,,Non,Mazout,375.000 €,,,,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,442 kWh/m²,,,,,,,,,,,,,,,,,,
73,,À rénover,3,,,150 m²,35 m²,18 m²,2,35 m²,9 m²,,1,,,Non,740 m²,,,Oui,,,,,442 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,175.000 €,,Non,"Venelle de la réserve 2
1300 - Wavre",Après la signature de l’acte,,,5094 - 4931,,,,Non,Charbon,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2020,Excellent état,2,2,,252 m²,45 m²,11 m²,3,13 m²,19 m²,13 m²,1,2,,,582 m²,,,,,Oui,,Non,74 kWh/m²,A,Non communiqué,74 kg CO₂/m²,Non communiqué,Oui,,415.000 €,,Non,"Grand Place 2
1470 - Genappe",À la livraison,31 décembre 2021 - 00:00,,4359540,,1,,,,,,,Équipée,,,,,,,,,,582 m²,,,,Non,,,,,,,,,,,,,,,,,1,,,,,,Oui,,,,,,,,,,,,,,,,,,
75,,À rafraîchir,,,285 m²,130 m²,Équipée,3,20 m²,13 m²,2,,2,Non,,4400 m²,Oui,,,Oui,,,,,F,Non communiqué,Non communiqué,Non communiqué,Non,,,Non,,"Venelle de la réserve 2
1300 - Wavre",5518 - 5159,,,,,,,,Gaz,550.000 €,,,,22 m²,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,1,,,,,Sud,498 kWh/m²,,,,,,,,,,,,,,,,,,
76,,Bon,,3,250 m²,Oui,,6,14 m²,10 m²,10 m²,10 m²,2,Non,,900 m²,Oui,,,,185 kWh/m²,,,,C,20210911004082,Non communiqué,Non communiqué,Non,475.000 €,,Non,,"Route Saint-Gérard 3
5100 - Namur",5495 - 5091,Après la signature de l’acte,,,,Hyper équipée,3,,Mazout,Oui,,,,16 m²,10 m²,,,,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,1,,,,Sud,,,,,,,,,,,,,,,,,,,
77,1970,À rafraîchir,4,4,,150 m²,20 m²,8 m²,4,13 m²,16 m²,13 m²,1,2,,Non,1000 m²,20 m,Connecté,Oui,20 m²,Oui,Non,Non,465 kWh/m²,F,20210625011467,Non communiqué,64543 kWh/an,Oui,Zone non inondable,450.000 €,,Non,,Après la signature de l’acte,,,,Oui,,,,Mazout,20 m,Pays,,Hyper équipée,15 m²,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,800 m²,Sud-ouest,Sud-ouest,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Toutes sortes,Non,Oui,,Non,2,,Oui,,4 m²,,,,,,,60 m²,,1,Oui,,,3 m²,1,,465,,,,
78,1895,À rénover,3,1,,110 m²,27 m²,,2,17 m²,10 m²,,1,1,,,210 m²,,Connecté,Oui,,,,,709 kWh/m²,G,20210923018585,Non communiqué,Non communiqué,Oui,,190.000 €,458 €,,"Rue Entrée Jacques 78/12
5030 - Gembloux",Après la signature de l’acte,,,,,,,,Gaz,,,,Équipée,,,,,,,,,Oui,,Est,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,11 m²,,1,,,,,,,,,,,
79,1850,À rénover,4,2,,140 m²,30 m²,7 m²,3,,,,,1,,Non,710 m²,,,,,,,,528 kWh/m²,G,20210218015886,Non communiqué,Non communiqué,Oui,,210.000 €,418 €,,"Rue Entrée Jacques 78/12
5030 - Gembloux",Après la signature de l’acte,,,,,1,,,,,,,Hyper équipée,,,,,,,,,Oui,,,Sud-est,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,14 m²,,1,,,,5 m²,1,,,,,,
80,,,2,,,179 m²,,,3,,,,,,,Non,10200 m²,,Connecté,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Zone non inondable,168.984 €,,Non,,Immédiatement,,,,,,,,Gaz,,Pays,,,,Non,Non,Non,Non,Non,Non,Non,Non,52 m²,,,,,,,,,,,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,Bon,4,4,,,,,4,,,,1,2,Oui,Non,3360 m²,,,Oui,,Non,Non,Oui,347 kWh/m²,E,20130618015041,Non communiqué,Non communiqué,Oui,,650.000 €,574 €,Non,,,,,,Oui,1,Oui,,Mazout,,,Oui,Équipée,,Non,Oui,Oui,Non,Oui,Non,Non,Oui,3000 m²,Sud-ouest,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,Oui,,,,,,,,,,,1,,,,,2,,,,,,
82,1918,,4,,,105 m²,,14 m²,3,13 m²,11 m²,14 m²,1,1,,,1276 m²,,Connecté,Oui,,,,,642 kWh/m²,G,20210505007472,Non communiqué,112133 kWh/an,,,Faire offre à partir de 275.000 €,676 €,Non,"Avenue Reine Astrid 65
1300 - Wavre",,,,4517622,,1,,,Gaz,,,Oui,Pas équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
83,,À rénover,2,,,123 m²,,,2,,,,,,,Non,10200 m²,,Connecté,Oui,,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Zone non inondable,135.984 €,,Non,,Immédiatement,,,,,,,,Gaz,,,,,,Non,Non,Non,Non,Non,Non,Oui,Oui,14 m²,Sud-ouest,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Toutes sortes,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,2,,,328 m²,,,5,,,,,,,Non,10000 m²,,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,277.984 €,,Non,,Immédiatement,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,78 m²,Sud,,,,,,,,,,Non,Non,Non,Non,Oui,Toutes sortes,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,4,4,,160 m²,35 m²,,3,,,,,,,Non,1680 m²,,,,,,,,389 kWh/m²,E,Non communiqué,Non communiqué,98243 kWh/an,Oui,Zone non inondable,420.000 €,,Non,"7 rue de Namur
1400 - Nivelles",Après la signature de l’acte,,,,,,Oui,Non,Mazout,,,,Semi-équipée,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,2,,,,,Oui,Oui,,,3605 - 2049,,,,1,,,,,,,,,,,
86,,,4,,,200 m²,,,5,,,,1,,,Non,870 m²,,,,,,,,348 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,450.000 €,,Non,"Grand Route 51
1435 - Mont-St-guibert",,,,780,,1,,Non,Gaz,,,,Équipée,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
87,2021,Excellent état,4,4,,231 m²,38 m²,12 m²,4,16 m²,15 m²,13 m²,1,2,,Non,1647 m²,17.4 m,,Oui,20 m²,,,,130 kWh/m²,B,20210811500321,32 kg CO₂/m²,Non communiqué,Oui,,545.000 €,,,"Rue Raymond Lebleux
1428 - Lillois",Après la signature de l’acte,,,,,,,,Mazout,11 m,,,Hyper équipée,19 m²,Oui,Oui,Oui,,Oui,,,,,Nord-ouest,Ouest,,,,,,,,,,,,,Oui,,,,,Non,1,,Oui,16 m²,27 m²,Oui,,,,,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,20 m²,,JAGG Properties,,,,,
88,1850,Bon,4,2,,195 m²,25 m²,11 m²,4,18 m²,12 m²,10 m²,1,2,,Non,1856 m²,25 m,,Oui,30 m²,,,,335 kWh/m²,D,20210617026750,Non communiqué,Non communiqué,Oui,,385.000 €,857 €,Non,"Place Albert 1er 9
5081 - Saint-Denis-Bovesse",,,,1160 - 202445,Oui,1,Oui,Non,Mazout,,,,Semi-équipée,,,Oui,,,,,,,1600 m²,Sud,,,,,,,,,,,,,,,,,,,,1,,,10 m²,23 m²,,,,,,,,,,,,,,,,,,,,
89,1968,À rénover,4,5,,115 m²,46 m²,12 m²,3,13 m²,12 m²,12 m²,1,,,Non,2251 m²,,,Oui,,,,,574 kWh/m²,G,20210718001407,142 kg CO₂/m²,78071 kWh/an,Oui,Zone non inondable,Faire offre à partir de 325.000 €,1.641 €,Non,"Chaussée de Louvain 244
1300 - Wavre",,,,,,,Oui,Non,Mazout,,,,Semi-équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Oui,,,37604 - 20073/WAD,,,,1,,,,,,,,,,,
90,,À rafraîchir,2,2,,258 m²,,17 m²,6,19 m²,17 m²,16 m²,2,3,,Non,722 m²,,,,,,,,261 kWh/m²,D,20201120005316,332 kg CO₂/m²,Non communiqué,Oui,,429.000 €,,Non,"Grand' Route 3
1435 - Mont Saint-Guibert",Après la signature de l’acte,,,,Oui,1,Oui,Non,Gaz,,,,Équipée,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 m²,,,,,,,,8820 - 354836,,,,1,,,,,,,,,,,
91,,,2,,,,,,3,,,,,,,Non,10200 m²,,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,168.984 €,,Non,,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,52 m²,,,,,,,,,,,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2008,Bon,4,4,,200 m²,24 m²,,4,15 m²,12 m²,10 m²,1,1,,,720 m²,,,,,,Oui,,146 kWh/m²,B,20210930005006,25 kg CO₂/m²,Non communiqué,Oui,,625.000 €,,,"Rue de Saintes 11/3
1400 - Nivelles",Après la signature de l’acte,,,,Oui,1,Oui,,Gaz,,,,Hyper équipée,12 m²,Oui,Oui,,,,,,,,Sud,Sud,,,,,,,,,,Oui,,,,,,,,,1,,Oui,,,Oui,Oui,,,,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
93,1918,Excellent état,3,,146 m²,25 m²,Américaine équipée,,12 m²,12 m²,13 m²,35 m²,,Non,,530 m²,6 m,530 m²,,,357 kWh/m²,,,,E,Non communiqué,88 kg CO₂/m²,57037 kWh/an,Non,Faire offre à partir de 295.000 €,,688 €,Non,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",3679 - 650202,,,,,,2,,Mazout,Oui,6 m,,,4,1,,,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
94,2004,Excellent état,2,,500 m²,72 m²,Américaine hyper-équipée,,35 m²,15 m²,15 m²,10 m²,1,10 m²,216 m²,,21 m,Connecté,Oui,66 m²,Non,Oui,Oui,109 kWh/m²,B,RWPEB-017770,5777 kg CO₂/m²,29970 kWh/an,Gaz,,,2.403 €,Oui,"Chaussée d'Alsemberg 4
1420 - Braine-l'Alleud",4342225,Après la signature de l’acte,1 janvier 2022 - 00:00,,,,3,,,216 m²,,,,4,2,,Oui,,,,,,,,,,,Oui,,,Non,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Faire offre à partir de 950.000 €,,,,,,,,
95,2018,Excellent état,3,4,450 m²,90 m²,Hyper équipée,,25 m²,22 m²,17 m²,15 m²,2,Non,,980 m²,Connecté,,Oui,830 m²,Non,Non,,197 kWh/m²,C,20210906008467,Non communiqué,69661 kWh/an,Gaz,,Faire offre à partir de 675.000 €,Non,,"Rue du Virginal 83
7090 - Hennuyères",4514922,Après la signature de l’acte,,,,,3,,,150 m²,18 m,,,5,22 m²,,,,,,,,,120 m²,,,,Oui,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,
96,,4,Pays,,Oui,Équipée,,24 m²,28 m²,26 m²,15 m²,40 m²,Oui,Non,,,Oui,,,,,,113 kWh/m²,B,20160315002844,Non communiqué,91994 kWh/an,Mazout,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Rue de la Montagne, 46
1460 - ITTRE",Nataline SAINTDENIS,,Excellent état,,,,25 m²,,Oui,,Oui,,850 m²,,5,Oui,5,3320 m²,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,785.000 €,,6,Oui,,,,,,,,,,,,,2.934 €,,,,,,Non,Visite sur rendez-vous préalable à prendre par téléphone au 0489/29.77.11,Après la signature de l’acte,Non
97,1960,À rafraîchir,4,,524 m²,75 m²,1,4,38 m²,34 m²,21 m²,10 m²,1,,Non,Non,Non,,Non,Non,,Non,Non,399 kWh/m²,E,20120818003060,99 kg CO₂/m²,213529 kWh/an,Non,731 m²,,4.849 €,Non,"Drève Richelle, 118
1410 - Waterloo",5303681,Après la signature de l’acte,,,,,50 m²,,"Oui, conforme",Non,,,,,Non,1,Oui,,Non,Non,Non,Non,Non connecté,,,,Non,Non,Non,,Oui,,,,Non,Non,Non,Oui,,,,Non,Non,1.975.000 €,1,,,Oui,,,,,,,Mazout,,,31 m²,,,Non,,,,,,,,
98,1960,À rénover,3,1,,120 m²,30 m²,20 m²,3,16 m²,14 m²,10 m²,1,1,,Non,80 m²,,,,20 m²,,,,445 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,Faire offre à partir de 150.000 €,,Non,"Rue du Virginal 83
7090 - Hennuyères",Après la signature de l’acte,1 octobre 2021 - 00:00,,4453980,Oui,1,,,,,,,Pas équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1960,Bon,4,10,,236 m²,37 m²,13 m²,1,17 m²,,,1,1,,,1625 m²,,Connecté,Non,18 m²,,,,513 kWh/m²,G,20210519003752,Non communiqué,85973 kWh/an,Oui,Zone non inondable,Faire offre à partir de 340.000 €,,Non,"Avenue du centenaire 53/4
1400 - Nivelles",Après la signature de l’acte,,,4372338,,,,,,14 m,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,19 m²,,,,,,73 m²,,,,,,,
100,,Excellent état,2,,,180 m²,,,3,20 m²,14 m²,10 m²,2,2,,Non,68 m²,,Connecté,Oui,,,,,290 kWh/m²,D,20120816019512,Non communiqué,31656 kWh/an,Oui,Zone non inondable,Faire offre à partir de 225.000 €,,Oui,"Avenue du centenaire 53/4
1400 - Nivelles",Selon le locataire,,,4512411,,,Oui,,Gaz,,,Oui,Équipée,,,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
101,,Excellent état,2,,,180 m²,,,3,20 m²,14 m²,10 m²,2,2,,Non,68 m²,,Connecté,Oui,,,,,290 kWh/m²,D,20120816019512,Non communiqué,31656 kWh/an,Oui,Zone non inondable,Faire offre à partir de 225.000 €,,Non,"Avenue du centenaire 53/4
1400 - Nivelles",Selon le locataire,,,4512327,,,Oui,,Gaz,,,,Équipée,,,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
102,,Bon,,,114 m²,31 m²,Équipée,4,15 m²,16 m²,15 m²,16 m²,,Oui,,285 m²,Connecté,,Oui,Oui,,,,,C,20210316023107,Non communiqué,Non communiqué,Non,Non,250.000 €,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,À définir,,,,,,Non,Mazout,Non,,,,20 m²,Non,1,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Non,Non,Zone non inondable,,,,,,,251 kWh/m²,,,,,,,,,,,,,,,,,,
103,2000,,4,6,,230 m²,75 m²,,3,17 m²,13 m²,11 m²,,,,Non,1040 m²,,,,,,,,291 kWh/m²,D,Non communiqué,Non communiqué,84768 kWh/an,Oui,,495.000 €,1.323 €,Non,"Rue du Bois 1
7090 - Hennuyères",,,,1018,Oui,2,,Non,Électrique,,,,Équipée,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
104,,Excellent état,4,,,565 m²,,,6,,,,5,,,Oui,100 m²,,,,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,750.000 €,,,"rue Bruyère Saint-Jean 142
1410 - Waterloo",,,,Pacal Lauriers,,,,,Mazout,,,,Hyper équipée,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,3,2,100 m²,27 m²,Équipée,,1,,,,Oui,,,880 m²,Non communiqué,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,199.000 €,,337 €,Non,"Rue de la Station 45
7090 - Braine-le-Comte",597-1,Après la signature de l’acte,,,,,,Non,Mazout,Non,,,,2,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,2,,Oui,,,,,,,,,,,,,,,,,,,,,,
106,,,3,,,,,,3,,,,,,,,750 m²,,Connecté,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Zone non inondable,399.000 €,,,"Avenue Louis Piedboeuf, 17
4053 - Embourg",À la livraison,,,Charles Germain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1974,Bon,4,1,,300 m²,28 m²,22 m²,4,13 m²,10 m²,1950 m²,1,3,Oui,Non,1557 m²,30 m,,Non,100 m²,Non,Oui,Non,211 kWh/m²,D,20210714004136,295 kg CO₂/m²,62300 kWh/an,Non,,450.000 €,1.800 €,Non,,Après la signature de l’acte,,,,Oui,1,,,Mazout,20 m,"Zone d'habitat (résidentiel, urbain ou rural)",,Semi-équipée,19 m²,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,1400 m²,Sud-est,Sud-est,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Villa,,Oui,,,2,,Oui,7 m²,,,,,,,,,,1,Oui,,,,,,,,,,
108,2012,Excellent état,3,6,,187 m²,,8 m²,3,12 m²,12 m²,11 m²,1,2,,Non,780 m²,,Connecté,Oui,24 m²,Non,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,430.000 €,898 €,Non,,Après la signature de l’acte,,,,Oui,,,,Gaz,8 m,,Oui,Américaine équipée,,Non,Non,Non,Non,Non,Non,Oui,Oui,1 m²,Nord-est,Sud-est,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,,Non,Oui,Non,Non,,,Oui,,,,,,,,,,,,,,,48 m²,,,,,,,
109,1910,À rénover,4,2,,200 m²,26 m²,16 m²,4,16 m²,12 m²,12 m²,2,3,,,1000 m²,,Non connecté,Oui,,,,,324 kWh/m²,D,210120809005284945,Non communiqué,Non communiqué,,,Faire offre à partir de 299.000 €,945 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",Après la signature de l’acte,,Brabant Wallon,,,,Oui,,,,Urbain,,,9 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Oui,,,4457855,,,,,,,,,,,,,,,
110,,Bon,,,,172 m²,33 m²,,2,24 m²,24 m²,,1,2,Oui,Non,600 m²,,,,19 m²,,,,457 kWh/m²,F,20210609003172,86 kg CO₂/m²,67362 kWh/an,Oui,Zone non inondable,260.000 €,523 €,Non,"Rue de la Déportation 81
1480 - Tubize",,,,21052,,,Oui,,Gaz,,Urbain,,Équipée,,,Non,,Non,,,,,470 m²,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Zone d'extension d'habitat,,,,,,,,,
111,2016,,3,3,,225 m²,,,3,,,,2,3,,Non,727 m²,,,,,,,,79 kWh/m²,A,Non communiqué,Non communiqué,19401 kWh/an,Oui,,449.000 €,1.252 €,Non,"7 rue de Namur
1400 - Nivelles",,,,,,,,Non,Gaz,,,,Américaine équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,3593 - 2040,,,,1,,,,,,,,,,,
112,,Bon,,,120 m²,1,,,1,,,,,Oui,,266 m²,350 kWh/m²,,,,,,,,E,Non communiqué,Non communiqué,Non communiqué,Non,,,Non,,"Rue De Mons 46
1480 - Tubize",2888 - 2350,,,,,,1,Non,Mazout,250.000 €,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Semi-équipée,,,,,,,,,,,
113,1992,Bon,4,4,,133 m²,29 m²,8 m²,3,9 m²,7 m²,14 m²,1,2,,Non,902 m²,,,,,,,,318 kWh/m²,D,20210719009993,58 kg CO₂/m²,Non communiqué,Oui,,395.000 €,917 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",Après la signature de l’acte,,,spir1953,,1,,,Gaz,,Pays,,Équipée,,Non,Non,,,,,,,902 m²,Sud,,,,,,,,,,Non,,,,,,Non,,,,1,,Oui,,,,,,,,Non,,,1,,Zone d'extension d'habitat,,,,,,,,,
